"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-0100","86","620185","UCT","100","true","NaturalEnd","2","54","18","880","908","27","27","15","15","12","12","1","2","3","3","1","2","Advantage","13.626","S00:0:1:1|S01:0:0:0|S02:3:3:0|S03:2:0:1|S10:4:0:3|S11:4:1:3|S12:0:2:2|S13:0:0:0|S20:0:0:0|S21:1:2:1|S22:1:2:1|S23:1:2:0|S30:0:0:0|S31:1:2:1|S32:2:0:2|S33:0:0:0|O00:2:1:2|O01:1:1:0|O02:4:1:3|O10:2:0:1|O11:4:0:3|O12:3:3:0|O20:3:3:0|O21:3:3:0|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0086.trl"
"3x3-uct-0100","87","620186","UCT","100","true","NaturalEnd","2","54","18","853","881","27","27","14","14","13","13","0","0","3","3","0","1","Advantage","28.148","S00:1:1:0|S01:1:1:0|S02:0:0:0|S03:1:2:1|S10:1:2:1|S11:0:2:2|S12:0:1:1|S13:1:1:0|S20:2:0:2|S21:2:0:2|S22:2:1:2|S23:0:1:1|S30:1:1:0|S31:0:0:0|S32:0:1:1|S33:2:0:1|O00:3:3:0|O01:3:3:0|O02:0:0:0|O10:0:2:2|O11:4:0:3|O12:3:3:0|O20:2:1:2|O21:4:0:3|O22:4:1:3","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0087.trl"
"3x3-uct-0100","88","620187","UCT","100","true","NaturalEnd","2","54","18","599","628","27","27","16","15","11","12","2","0","2","2","1","2","Advantage","25.576","S00:1:2:1|S01:2:0:2|S02:1:1:0|S03:2:0:2|S10:0:1:1|S11:0:1:1|S12:0:0:0|S13:1:1:0|S20:2:0:1|S21:3:3:2|S22:3:3:2|S23:2:0:1|S30:2:0:1|S31:1:2:0|S32:1:2:1|S33:0:0:0|O00:3:3:1|O01:3:3:0|O02:2:1:2|O10:2:1:2|O11:1:1:0|O12:4:1:3|O20:0:1:1|O21:0:0:0|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0088.trl"
"3x3-uct-0100","89","620188","UCT","100","true","NaturalEnd","2","54","18","598","625","27","27","17","18","10","9","1","2","2","2","1","2","Advantage","23.854","S00:4:0:3|S01:1:2:1|S02:2:1:2|S03:1:1:0|S10:2:0:1|S11:0:0:0|S12:0:1:1|S13:2:0:1|S20:1:2:0|S21:4:2:3|S22:0:2:2|S23:0:1:1|S30:1:1:0|S31:3:3:1|S32:0:1:1|S33:2:0:1|O00:2:0:1|O01:0:0:0|O02:4:1:3|O10:3:3:0|O11:1:1:0|O12:4:1:3|O20:3:3:0|O21:0:1:1|O22:2:0:1","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0089.trl"
"3x3-uct-0100","90","620189","UCT","100","true","NaturalEnd","2","54","18","882","883","27","27","13","12","14","15","0","0","3","3","1","1","Pieces","22.860","S00:2:0:2|S01:0:0:0|S02:2:1:2|S03:1:1:0|S10:1:1:0|S11:1:1:0|S12:2:1:2|S13:0:2:2|S20:1:2:0|S21:2:1:2|S22:1:1:0|S23:0:0:0|S30:2:1:2|S31:0:0:0|S32:1:1:0|S33:0:0:0|O00:2:1:2|O01:0:2:2|O02:4:0:3|O10:3:3:0|O11:3:3:0|O12:3:3:2|O20:4:1:3|O21:4:0:3|O22:1:1:0","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0090.trl"
