"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-0500","66","620265","UCT","500","true","NaturalEnd","1","54","18","1162","1134","27","27","13","13","14","14","0","2","4","4","1","0","Advantage","81.421","S00:0:0:0|S01:1:1:0|S02:0:1:1|S03:1:2:0|S10:0:1:1|S11:4:2:3|S12:0:1:1|S13:4:0:3|S20:0:0:0|S21:1:1:0|S22:2:1:2|S23:2:1:2|S30:0:0:0|S31:1:1:0|S32:0:0:0|S33:1:1:0|O00:4:0:3|O01:3:3:0|O02:3:3:1|O10:1:2:1|O11:4:0:3|O12:4:0:3|O20:3:3:0|O21:3:3:0|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0066.trl"
"3x3-uct-0500","67","620266","UCT","500","true","NaturalEnd","2","54","18","1134","1415","27","27","13","12","14","15","0","2","4","5","0","0","Secured","81.748","S00:0:1:1|S01:1:1:0|S02:4:2:3|S03:1:1:0|S10:0:0:0|S11:2:1:2|S12:0:0:0|S13:0:1:1|S20:0:1:1|S21:4:1:3|S22:1:2:0|S23:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:1:1|S33:1:1:0|O00:4:0:3|O01:4:0:3|O02:3:3:0|O10:4:0:3|O11:4:0:3|O12:3:3:0|O20:4:2:3|O21:3:3:0|O22:3:3:0","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0067.trl"
"3x3-uct-0500","68","620267","UCT","500","true","NaturalEnd","1","54","18","1132","880","27","27","15","15","12","12","0","2","4","3","0","1","Secured","100.491","S00:1:1:0|S01:2:0:1|S02:1:2:1|S03:1:1:0|S10:0:1:1|S11:4:2:3|S12:1:2:1|S13:0:1:1|S20:2:1:2|S21:4:2:3|S22:0:1:1|S23:0:0:0|S30:1:1:0|S31:0:0:0|S32:2:0:1|S33:0:0:0|O00:4:0:3|O01:3:3:1|O02:3:3:0|O10:4:0:3|O11:4:0:3|O12:3:3:0|O20:3:3:1|O21:2:0:1|O22:0:0:0","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0068.trl"
"3x3-uct-0500","69","620268","UCT","500","true","NaturalEnd","2","54","18","908","1132","27","27","15","15","12","12","0","2","3","4","2","0","Secured","44.658","S00:0:1:1|S01:0:1:1|S02:0:1:1|S03:1:1:0|S10:2:1:2|S11:4:2:3|S12:4:2:3|S13:0:0:0|S20:2:0:1|S21:0:1:1|S22:0:2:2|S23:1:1:0|S30:0:0:0|S31:0:0:0|S32:1:2:0|S33:0:0:0|O00:4:1:3|O01:1:1:0|O02:4:0:3|O10:4:0:3|O11:3:3:0|O12:3:3:0|O20:4:0:3|O21:1:1:0|O22:3:3:0","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0069.trl"
"3x3-uct-0500","70","620269","UCT","500","true","NaturalEnd","1","54","18","1190","851","27","27","13","16","14","11","1","1","4","3","2","0","Secured","42.719","S00:2:0:1|S01:4:1:3|S02:1:1:0|S03:2:0:1|S10:2:0:1|S11:3:3:2|S12:0:2:2|S13:1:1:0|S20:2:0:1|S21:1:2:0|S22:2:1:2|S23:1:2:1|S30:0:0:0|S31:2:0:1|S32:0:0:0|S33:2:0:1|O00:4:0:3|O01:3:3:0|O02:3:3:0|O10:3:3:2|O11:4:0:3|O12:1:1:0|O20:4:0:3|O21:3:3:0|O22:1:1:0","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0070.trl"
