"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-0100","91","620190","UCT","100","true","NaturalEnd","1","54","18","625","405","27","27","18","14","9","13","2","0","2","1","2","4","Secured","22.639","S00:2:0:1|S01:0:1:1|S02:0:2:2|S03:2:0:1|S10:2:0:1|S11:3:3:2|S12:1:2:1|S13:1:2:0|S20:2:0:1|S21:3:3:0|S22:0:2:2|S23:1:1:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:2:0:2|O00:4:0:3|O01:2:0:2|O02:3:3:0|O10:2:1:2|O11:2:0:2|O12:2:0:2|O20:1:1:0|O21:3:3:2|O22:1:1:0","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0091.trl"
"3x3-uct-0100","92","620191","UCT","100","true","NaturalEnd","2","54","18","852","881","27","27","15","14","12","13","1","2","3","3","0","1","Advantage","25.068","S00:2:0:1|S01:0:0:0|S02:1:2:0|S03:0:0:0|S10:0:0:0|S11:2:1:2|S12:4:2:3|S13:2:1:2|S20:3:3:0|S21:1:2:1|S22:2:0:1|S23:1:1:0|S30:1:1:0|S31:4:1:3|S32:0:1:1|S33:0:0:0|O00:4:0:3|O01:3:3:1|O02:3:3:0|O10:3:3:0|O11:0:0:0|O12:4:0:3|O20:2:1:2|O21:4:1:3|O22:0:1:1","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0092.trl"
"3x3-uct-0100","93","620192","UCT","100","true","NaturalEnd","2","54","18","628","850","27","27","15","17","12","10","0","2","2","3","2","0","Secured","20.217","S00:2:1:2|S01:1:1:0|S02:0:1:1|S03:1:1:0|S10:0:0:0|S11:0:0:0|S12:2:1:2|S13:2:1:2|S20:0:1:1|S21:1:2:1|S22:1:2:1|S23:4:1:3|S30:0:0:0|S31:4:1:3|S32:0:1:1|S33:1:1:0|O00:0:1:1|O01:3:3:0|O02:1:2:0|O10:1:1:0|O11:0:0:0|O12:4:2:3|O20:4:0:3|O21:4:0:3|O22:3:3:0","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0093.trl"
"3x3-uct-0100","94","620193","UCT","100","true","NaturalEnd","2","54","18","881","910","27","27","14","13","13","14","0","1","3","3","1","2","Advantage","27.567","S00:0:0:0|S01:1:2:1|S02:4:2:3|S03:0:0:0|S10:1:1:0|S11:2:0:1|S12:2:1:2|S13:1:1:0|S20:0:1:1|S21:1:2:1|S22:0:1:1|S23:1:1:0|S30:1:1:0|S31:0:1:1|S32:2:0:2|S33:0:0:0|O00:4:1:3|O01:4:0:3|O02:2:1:2|O10:2:0:1|O11:4:1:3|O12:3:3:1|O20:1:1:0|O21:3:3:0|O22:3:3:1","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0094.trl"
"3x3-uct-0100","95","620194","UCT","100","true","NaturalEnd","1","54","18","1161","598","27","27","14","17","13","10","0","2","4","2","1","1","Secured","19.025","S00:1:1:0|S01:1:1:0|S02:4:0:3|S03:1:2:1|S10:2:0:1|S11:1:2:1|S12:1:2:0|S13:2:1:2|S20:0:2:2|S21:1:2:0|S22:2:0:1|S23:4:0:3|S30:0:0:0|S31:0:1:1|S32:2:0:2|S33:0:0:0|O00:0:0:0|O01:3:3:1|O02:3:3:2|O10:1:1:0|O11:3:3:0|O12:4:0:3|O20:3:3:0|O21:2:0:1|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0100/3x3-uct-0100-0095.trl"
