"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-0500","56","620255","UCT","500","true","NaturalEnd","1","54","18","880","879","27","27","15","16","12","11","1","1","3","3","1","1","Pieces","116.776","S00:2:0:2|S01:2:0:1|S02:0:0:0|S03:1:1:0|S10:2:0:1|S11:4:2:3|S12:1:2:1|S13:0:0:0|S20:1:1:0|S21:3:3:2|S22:0:2:2|S23:0:1:1|S30:0:1:1|S31:0:2:2|S32:0:0:0|S33:0:0:0|O00:4:0:3|O01:4:0:3|O02:1:2:0|O10:3:3:0|O11:4:1:3|O12:0:0:0|O20:3:3:0|O21:3:3:0|O22:2:0:2","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0056.trl"
"3x3-uct-0500","57","620256","UCT","500","true","NaturalEnd","1","54","18","908","880","27","27","15","15","12","12","2","0","3","3","2","1","Advantage","60.379","S00:2:0:1|S01:0:1:1|S02:0:0:0|S03:0:1:1|S10:0:1:1|S11:0:1:1|S12:0:1:1|S13:0:0:0|S20:2:1:2|S21:3:3:2|S22:0:1:1|S23:2:0:1|S30:0:0:0|S31:3:3:2|S32:1:2:1|S33:0:0:0|O00:2:1:2|O01:4:0:3|O02:1:1:0|O10:1:1:0|O11:3:3:0|O12:4:0:3|O20:3:3:0|O21:3:3:1|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0057.trl"
"3x3-uct-0500","58","620257","UCT","500","true","NaturalEnd","2","54","18","1135","1163","27","27","12","12","15","15","1","0","4","4","0","1","Advantage","104.186","S00:0:0:0|S01:2:0:2|S02:1:1:0|S03:2:0:1|S10:0:1:1|S11:1:2:0|S12:0:2:2|S13:0:0:0|S20:1:1:0|S21:3:3:2|S22:2:0:1|S23:0:0:0|S30:0:1:1|S31:1:1:0|S32:2:0:1|S33:2:0:1|O00:3:3:0|O01:4:0:3|O02:2:1:2|O10:3:3:0|O11:3:3:1|O12:4:0:3|O20:4:2:3|O21:3:3:0|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0058.trl"
"3x3-uct-0500","59","620258","UCT","500","true","NaturalEnd","1","54","18","1134","880","27","27","13","15","14","12","1","1","4","3","0","1","Secured","107.134","S00:1:1:0|S01:0:0:0|S02:2:0:2|S03:2:0:1|S10:2:0:1|S11:4:2:3|S12:1:2:1|S13:0:0:0|S20:1:1:0|S21:2:1:2|S22:3:3:1|S23:0:1:1|S30:0:1:1|S31:1:1:0|S32:2:0:2|S33:0:0:0|O00:0:0:0|O01:2:0:1|O02:4:2:3|O10:3:3:0|O11:3:3:0|O12:3:3:1|O20:3:3:1|O21:4:0:3|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0059.trl"
"3x3-uct-0500","60","620259","UCT","500","true","NaturalEnd","2","54","18","881","909","27","27","14","14","13","13","0","1","3","3","1","2","Advantage","81.406","S00:0:0:0|S01:2:1:2|S02:0:1:1|S03:1:1:0|S10:4:2:3|S11:1:2:1|S12:1:1:0|S13:0:1:1|S20:0:1:1|S21:0:1:1|S22:1:1:0|S23:2:0:1|S30:1:1:0|S31:2:0:1|S32:2:1:2|S33:0:0:0|O00:4:1:3|O01:4:0:3|O02:3:3:0|O10:4:0:3|O11:3:3:0|O12:3:3:0|O20:1:1:0|O21:2:1:2|O22:2:1:2","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0060.trl"
