"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-seeded-random","31","620030","SeededRandom","-1","true","NaturalEnd","1","54","18","345","121","27","27","18","18","9","9","3","3","1","0","2","4","Secured","0.905","S00:0:1:1|S01:0:1:1|S02:2:0:1|S03:3:3:0|S10:3:3:2|S11:1:2:0|S12:3:3:0|S13:4:2:3|S20:0:0:0|S21:4:1:3|S22:0:1:1|S23:4:1:3|S30:2:0:1|S31:2:0:1|S32:2:0:1|S33:0:0:0|O00:2:0:1|O01:1:2:0|O02:3:3:0|O10:2:0:2|O11:1:2:1|O12:0:0:0|O20:2:0:2|O21:0:2:2|O22:2:0:1","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0031.trl"
"3x3-seeded-random","32","620031","SeededRandom","-1","true","NaturalEnd","1","54","18","373","32","27","27","18","23","9","4","1","3","1","0","3","1","Secured","0.271","S00:0:1:1|S01:0:0:0|S02:2:1:2|S03:1:1:0|S10:0:1:1|S11:2:1:2|S12:0:1:1|S13:4:2:3|S20:1:1:0|S21:4:2:3|S22:2:0:2|S23:1:2:0|S30:2:0:1|S31:3:3:2|S32:0:2:2|S33:4:0:3|O00:2:0:2|O01:0:0:0|O02:0:0:0|O10:1:1:0|O11:0:1:1|O12:1:2:0|O20:3:3:0|O21:1:1:0|O22:0:1:1","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0032.trl"
"3x3-seeded-random","33","620032","SeededRandom","-1","true","NaturalEnd","1","54","18","655","61","27","27","16","22","11","5","2","1","2","0","3","2","Secured","0.335","S00:2:0:2|S01:1:1:0|S02:2:0:1|S03:2:0:2|S10:0:1:1|S11:3:3:1|S12:1:2:1|S13:4:0:3|S20:2:1:2|S21:0:1:1|S22:2:0:1|S23:0:2:2|S30:2:0:1|S31:2:0:2|S32:3:3:0|S33:0:2:2|O00:3:3:2|O01:1:2:0|O02:2:0:1|O10:3:3:1|O11:1:2:0|O12:0:0:0|O20:2:0:1|O21:1:1:0|O22:0:0:0","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0033.trl"
"3x3-seeded-random","34","620033","SeededRandom","-1","true","NaturalEnd","2","54","18","342","372","27","27","21","19","6","8","3","1","1","1","2","3","Advantage","0.408","S00:0:1:1|S01:3:3:1|S02:0:1:1|S03:4:1:3|S10:1:1:0|S11:1:1:0|S12:2:1:2|S13:2:0:2|S20:2:1:2|S21:0:2:2|S22:0:1:1|S23:0:2:2|S30:2:0:2|S31:0:0:0|S32:3:3:0|S33:3:3:0|O00:0:0:0|O01:1:1:0|O02:2:0:2|O10:2:0:2|O11:3:3:0|O12:1:2:0|O20:4:0:3|O21:2:0:1|O22:0:0:0","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0034.trl"
"3x3-seeded-random","35","620034","SeededRandom","-1","true","NaturalEnd","0","54","18","63","63","27","27","20","20","7","7","1","1","0","0","2","2","Draw","0.521","S00:2:1:2|S01:1:2:0|S02:1:1:0|S03:0:1:1|S10:2:0:1|S11:0:2:2|S12:1:1:0|S13:1:2:1|S20:2:0:2|S21:4:2:3|S22:2:0:1|S23:2:1:2|S30:2:0:2|S31:1:2:1|S32:1:2:1|S33:3:3:1|O00:0:0:0|O01:1:2:0|O02:1:2:1|O10:2:0:2|O11:0:0:0|O12:0:1:1|O20:2:1:2|O21:0:0:0|O22:0:1:1","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0035.trl"
