"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-seeded-random","61","620060","SeededRandom","-1","true","NaturalEnd","2","54","18","343","597","27","27","20","18","7","9","2","2","1","2","2","1","Secured","0.730","S00:1:2:0|S01:1:2:1|S02:1:2:1|S03:4:2:3|S10:0:1:1|S11:3:3:0|S12:1:2:1|S13:2:0:1|S20:1:2:1|S21:3:3:1|S22:1:1:0|S23:0:0:0|S30:4:0:3|S31:2:0:1|S32:2:0:2|S33:2:0:2|O00:1:2:0|O01:3:3:0|O02:4:0:3|O10:1:1:0|O11:0:0:0|O12:0:1:1|O20:0:0:0|O21:4:0:3|O22:2:0:2","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0061.trl"
"3x3-seeded-random","62","620061","SeededRandom","-1","true","NaturalEnd","2","54","18","118","343","27","27","21","20","6","7","2","2","0","1","4","2","Secured","0.151","S00:1:2:1|S01:0:1:1|S02:0:1:1|S03:2:0:1|S10:4:1:3|S11:0:1:1|S12:3:3:2|S13:2:1:2|S20:2:0:1|S21:3:3:0|S22:2:0:2|S23:0:2:2|S30:1:1:0|S31:1:2:0|S32:1:2:0|S33:4:1:3|O00:1:1:0|O01:1:2:0|O02:0:0:0|O10:0:1:1|O11:1:1:0|O12:4:0:3|O20:1:1:0|O21:2:0:2|O22:2:0:1","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0062.trl"
"3x3-seeded-random","63","620062","SeededRandom","-1","true","NaturalEnd","2","54","18","5","375","27","27","22","16","5","11","4","1","0","1","0","3","Secured","0.121","S00:3:3:1|S01:4:0:3|S02:2:0:2|S03:3:3:2|S10:3:3:0|S11:0:1:1|S12:0:1:1|S13:1:2:1|S20:0:0:0|S21:3:3:0|S22:2:0:2|S23:0:1:1|S30:1:2:0|S31:0:1:1|S32:0:1:1|S33:1:1:0|O00:0:1:1|O01:2:1:2|O02:0:1:1|O10:0:0:0|O11:2:1:2|O12:0:1:1|O20:0:0:0|O21:4:0:3|O22:2:0:1","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0063.trl"
"3x3-seeded-random","64","620063","SeededRandom","-1","true","NaturalEnd","2","54","18","92","149","27","27","19","18","8","9","3","2","0","0","3","5","Advantage","0.215","S00:0:1:1|S01:0:1:1|S02:3:3:0|S03:3:3:1|S10:3:3:0|S11:4:1:3|S12:0:2:2|S13:1:1:0|S20:0:1:1|S21:0:1:1|S22:2:1:2|S23:0:0:0|S30:2:0:1|S31:1:1:0|S32:4:0:3|S33:2:0:2|O00:2:1:2|O01:0:1:1|O02:1:1:0|O10:1:2:0|O11:1:2:1|O12:2:0:1|O20:2:1:2|O21:2:0:1|O22:2:0:1","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0064.trl"
"3x3-seeded-random","65","620064","SeededRandom","-1","true","NaturalEnd","2","54","18","347","628","27","27","16","15","11","12","2","1","1","2","2","2","Secured","0.107","S00:3:3:1|S01:4:1:3|S02:0:0:0|S03:1:1:0|S10:0:2:2|S11:3:3:1|S12:1:2:0|S13:0:0:0|S20:2:0:1|S21:2:0:2|S22:1:2:0|S23:2:0:1|S30:2:0:1|S31:1:2:0|S32:2:0:1|S33:2:0:2|O00:3:3:1|O01:0:2:2|O02:1:2:0|O10:4:1:3|O11:0:0:0|O12:1:1:0|O20:2:1:2|O21:4:1:3|O22:2:0:1","experiments/issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0065.trl"
