"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-0500","36","620235","UCT","500","true","NaturalEnd","1","54","18","910","853","27","27","13","14","14","13","1","0","3","3","2","0","Advantage","129.403","S00:2:0:1|S01:2:0:2|S02:2:1:2|S03:2:0:1|S10:2:0:1|S11:3:3:2|S12:1:2:0|S13:2:1:2|S20:2:0:1|S21:1:2:0|S22:0:0:0|S23:1:1:0|S30:1:1:0|S31:1:2:1|S32:2:0:1|S33:0:0:0|O00:4:0:3|O01:4:1:3|O02:4:1:3|O10:3:3:1|O11:3:3:0|O12:3:3:2|O20:1:1:0|O21:1:1:0|O22:0:1:1","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0036.trl"
"3x3-uct-0500","37","620236","UCT","500","true","NaturalEnd","1","54","18","880","850","27","27","15","17","12","10","2","0","3","3","1","0","Advantage","75.816","S00:1:1:0|S01:0:1:1|S02:0:2:2|S03:1:2:1|S10:2:0:2|S11:3:3:2|S12:2:1:2|S13:2:0:2|S20:2:0:1|S21:0:0:0|S22:3:3:2|S23:0:1:1|S30:0:0:0|S31:0:0:0|S32:0:1:1|S33:0:0:0|O00:3:3:0|O01:3:3:1|O02:4:1:3|O10:4:0:3|O11:3:3:0|O12:4:0:3|O20:0:0:0|O21:0:0:0|O22:1:2:0","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0037.trl"
"3x3-uct-0500","38","620237","UCT","500","true","NaturalEnd","1","54","18","1134","881","27","27","13","14","14","13","1","1","4","3","0","1","Secured","84.830","S00:0:0:0|S01:1:1:0|S02:0:0:0|S03:0:0:0|S10:0:0:0|S11:0:2:2|S12:2:1:2|S13:0:1:1|S20:0:0:0|S21:4:2:3|S22:3:3:2|S23:0:1:1|S30:2:0:1|S31:0:1:1|S32:2:0:1|S33:1:1:0|O00:3:3:0|O01:4:1:3|O02:4:0:3|O10:4:0:3|O11:3:3:0|O12:2:0:1|O20:3:3:0|O21:3:3:2|O22:0:1:1","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0038.trl"
"3x3-uct-0500","39","620238","UCT","500","true","NaturalEnd","1","54","18","880","345","27","27","15","18","12","9","0","2","3","1","1","2","Secured","76.454","S00:0:0:0|S01:1:1:0|S02:2:0:1|S03:0:0:0|S10:1:1:0|S11:1:2:1|S12:4:2:3|S13:0:1:1|S20:2:0:1|S21:4:0:3|S22:1:2:1|S23:2:0:2|S30:1:1:0|S31:0:1:1|S32:0:2:2|S33:0:2:2|O00:0:0:0|O01:3:3:1|O02:0:0:0|O10:2:0:2|O11:3:3:0|O12:1:2:0|O20:2:0:2|O21:4:1:3|O22:3:3:1","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0039.trl"
"3x3-uct-0500","40","620239","UCT","500","true","NaturalEnd","1","54","18","883","882","27","27","12","13","15","14","0","0","3","3","1","1","Pieces","83.652","S00:0:0:0|S01:1:1:0|S02:0:0:0|S03:0:0:0|S10:0:0:0|S11:0:1:1|S12:0:2:2|S13:0:0:0|S20:2:1:2|S21:0:1:1|S22:0:2:2|S23:2:1:2|S30:0:0:0|S31:0:1:1|S32:0:1:1|S33:0:1:1|O00:3:3:0|O01:3:3:1|O02:4:0:3|O10:3:3:0|O11:0:2:2|O12:2:0:1|O20:1:2:1|O21:4:2:3|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0040.trl"
