"board","experiment_id","search_level","game_index","censor_mode","cohort_regions","final_band_survival_rate","mechanically_closed_rate","resolved_or_settled_rate","end_censored_rate","selectively_abandoned_rate"
"3x3","3x3-seeded-random","seeded-random","19","0.2","7","1.000000","0.000000","0.714286","0.285714","0.000000"
"3x3","3x3-seeded-random","seeded-random","20","turns4","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","20","0.1","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","20","0.2","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","21","turns4","6","1.000000","0.000000","0.166667","0.666667","0.166667"
"3x3","3x3-seeded-random","seeded-random","21","0.1","6","1.000000","0.000000","0.166667","0.333333","0.500000"
"3x3","3x3-seeded-random","seeded-random","21","0.2","6","1.000000","0.000000","0.166667","0.666667","0.166667"
"3x3","3x3-seeded-random","seeded-random","22","turns4","6","1.000000","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","22","0.1","6","1.000000","0.000000","0.500000","0.166667","0.333333"
"3x3","3x3-seeded-random","seeded-random","22","0.2","6","1.000000","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","23","turns4","5","0.800000","0.000000","0.800000","0.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","23","0.1","5","0.800000","0.000000","0.800000","0.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","23","0.2","5","0.800000","0.000000","0.800000","0.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","24","turns4","8","0.750000","0.000000","0.750000","0.000000","0.250000"
"3x3","3x3-seeded-random","seeded-random","24","0.1","8","0.750000","0.000000","0.750000","0.000000","0.250000"
"3x3","3x3-seeded-random","seeded-random","24","0.2","8","0.750000","0.000000","0.750000","0.000000","0.250000"
"3x3","3x3-seeded-random","seeded-random","25","turns4","6","1.000000","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","25","0.1","6","1.000000","0.000000","0.666667","0.000000","0.333333"
"3x3","3x3-seeded-random","seeded-random","25","0.2","6","1.000000","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","26","turns4","8","0.625000","0.000000","0.750000","0.125000","0.125000"
"3x3","3x3-seeded-random","seeded-random","26","0.1","8","0.625000","0.000000","0.750000","0.125000","0.125000"
"3x3","3x3-seeded-random","seeded-random","26","0.2","8","0.625000","0.000000","0.750000","0.125000","0.125000"
"3x3","3x3-seeded-random","seeded-random","27","turns4","8","0.875000","0.000000","0.500000","0.375000","0.125000"
"3x3","3x3-seeded-random","seeded-random","27","0.1","8","0.875000","0.000000","0.500000","0.125000","0.375000"
"3x3","3x3-seeded-random","seeded-random","27","0.2","8","0.875000","0.000000","0.500000","0.375000","0.125000"
"3x3","3x3-seeded-random","seeded-random","28","turns4","8","0.875000","0.000000","0.375000","0.500000","0.125000"
"3x3","3x3-seeded-random","seeded-random","28","0.1","8","0.875000","0.000000","0.375000","0.250000","0.375000"
"3x3","3x3-seeded-random","seeded-random","28","0.2","8","0.875000","0.000000","0.375000","0.500000","0.125000"
"3x3","3x3-seeded-random","seeded-random","29","turns4","6","0.833333","0.000000","0.333333","0.500000","0.166667"
