"board","search_level","band","metric","games","value","ci_low","ci_high","primary"
"3x3","seeded-random","4","placement_top_two_share","100","0.456667","0.440667","0.472667","false"
"3x3","seeded-random","4","opportunity_top_two_share","100","0.351388","0.345616","0.357129","false"
"3x3","seeded-random","4","top_two_share_gap","100","0.105278","0.089404","0.121565","false"
"3x3","seeded-random","4","placement_regions","100","7.460000","7.290000","7.620000","false"
"3x3","seeded-random","4","opportunity_regions","100","8.940000","8.890000","8.980000","false"
"3x3","uct-0100","1","mean_active_fronts","100","1.200000","1.100000","1.295000","false"
"3x3","uct-0100","1","mean_dormant_fronts","100","0.092500","0.067500","0.120000","false"
"3x3","uct-0100","1","mean_backlog","100","0.397500","0.342500","0.455000","false"
"3x3","uct-0100","1","multi_active_turn_rate","100","0.397500","0.342500","0.452500","false"
"3x3","uct-0100","1","multi_unattended_turn_rate","100","0.072500","0.050000","0.097500","false"
"3x3","uct-0100","1","decline_from_game_peak","100","4.580000","4.390000","4.777500","false"
"3x3","uct-0100","1","placement_entropy","100","0.768994","0.752784","0.783970","false"
"3x3","uct-0100","1","opportunity_entropy","100","0.959754","0.958409","0.961148","false"
"3x3","uct-0100","1","entropy_gap","100","-0.190760","-0.205963","-0.175415","false"
"3x3","uct-0100","1","placement_hhi","100","0.208333","0.199861","0.216667","false"
"3x3","uct-0100","1","opportunity_hhi","100","0.132986","0.132271","0.133715","false"
"3x3","uct-0100","1","hhi_gap","100","0.075347","0.067109","0.083726","false"
"3x3","uct-0100","1","placement_largest_share","100","0.301667","0.287500","0.315833","false"
"3x3","uct-0100","1","opportunity_largest_share","100","0.229243","0.227317","0.231196","false"
"3x3","uct-0100","1","largest_share_gap","100","0.072424","0.059495","0.085801","false"
"3x3","uct-0100","1","placement_top_two_share","100","0.515833","0.498333","0.534167","false"
"3x3","uct-0100","1","opportunity_top_two_share","100","0.359937","0.357520","0.362366","false"
"3x3","uct-0100","1","top_two_share_gap","100","0.155896","0.138910","0.173409","false"
"3x3","uct-0100","1","placement_regions","100","6.180000","5.990000","6.370000","false"
"3x3","uct-0100","1","opportunity_regions","100","9.000000","9.000000","9.000000","false"
"3x3","uct-0100","2","mean_active_fronts","100","3.404000","3.218000","3.586000","false"
"3x3","uct-0100","2","mean_dormant_fronts","100","0.838000","0.752000","0.922000","false"
"3x3","uct-0100","2","mean_backlog","100","1.776000","1.646000","1.910000","false"
"3x3","uct-0100","2","multi_active_turn_rate","100","0.946000","0.912000","0.976000","false"
"3x3","uct-0100","2","multi_unattended_turn_rate","100","0.598000","0.540000","0.656000","false"
"3x3","uct-0100","2","decline_from_game_peak","100","2.376000","2.180000","2.576000","false"
"3x3","uct-0100","2","placement_entropy","100","0.815727","0.799964","0.831329","false"
"3x3","uct-0100","2","opportunity_entropy","100","0.969380","0.967703","0.970991","false"
"3x3","uct-0100","2","entropy_gap","100","-0.153653","-0.169633","-0.138036","false"
"3x3","uct-0100","2","placement_hhi","100","0.187911","0.180622","0.195911","false"
"3x3","uct-0100","2","opportunity_hhi","100","0.127356","0.126532","0.128199","false"
"3x3","uct-0100","2","hhi_gap","100","0.060555","0.053133","0.068678","false"
"3x3","uct-0100","2","placement_largest_share","100","0.272000","0.259333","0.284667","false"
"3x3","uct-0100","2","opportunity_largest_share","100","0.209365","0.206377","0.212253","false"
"3x3","uct-0100","2","largest_share_gap","100","0.062635","0.049896","0.075234","false"
"3x3","uct-0100","2","placement_top_two_share","100","0.481333","0.463333","0.499333","false"
"3x3","uct-0100","2","opportunity_top_two_share","100","0.343327","0.340009","0.346718","false"
"3x3","uct-0100","2","top_two_share_gap","100","0.138006","0.121292","0.155656","false"
"3x3","uct-0100","2","placement_regions","100","6.890000","6.690000","7.090000","false"
"3x3","uct-0100","2","opportunity_regions","100","9.000000","9.000000","9.000000","false"
"3x3","uct-0100","3","mean_active_fronts","100","4.192500","4.010000","4.372500","false"
