"board","search_level","turn_number","metric","games","value","ci_low","ci_high","primary"
"3x3","seeded-random","18","dormant_fronts","100","1.580000","1.390000","1.760000","false"
"3x3","seeded-random","18","backlog","100","3.090000","2.900000","3.290000","false"
"3x3","seeded-random","18","decline_from_game_peak","100","0.870000","0.690000","1.070000","false"
"3x3","uct-0100","1","active_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0100","1","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0100","1","backlog","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0100","1","decline_from_game_peak","100","5.780000","5.590000","5.970000","false"
"3x3","uct-0100","2","active_fronts","100","0.990000","0.840000","1.140000","false"
"3x3","uct-0100","2","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0100","2","backlog","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0100","2","decline_from_game_peak","100","4.790000","4.580000","5.000000","false"
"3x3","uct-0100","3","active_fronts","100","1.560000","1.410000","1.710000","false"
"3x3","uct-0100","3","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"3x3","uct-0100","3","backlog","100","0.590000","0.470000","0.710000","false"
"3x3","uct-0100","3","decline_from_game_peak","100","4.220000","4.000000","4.450000","false"
"3x3","uct-0100","4","active_fronts","100","2.250000","2.080000","2.420000","false"
"3x3","uct-0100","4","dormant_fronts","100","0.370000","0.280000","0.470000","false"
"3x3","uct-0100","4","backlog","100","1.000000","0.840000","1.150000","false"
"3x3","uct-0100","4","decline_from_game_peak","100","3.530000","3.290000","3.760000","false"
"3x3","uct-0100","5","active_fronts","100","2.750000","2.550000","2.950000","false"
"3x3","uct-0100","5","dormant_fronts","100","0.600000","0.480000","0.730000","false"
"3x3","uct-0100","5","backlog","100","1.370000","1.190000","1.550000","false"
"3x3","uct-0100","5","decline_from_game_peak","100","3.030000","2.790000","3.260000","false"
"3x3","uct-0100","6","active_fronts","100","3.180000","2.950000","3.420000","false"
"3x3","uct-0100","6","dormant_fronts","100","0.790000","0.630000","0.950000","false"
"3x3","uct-0100","6","backlog","100","1.580000","1.390000","1.780000","false"
"3x3","uct-0100","6","decline_from_game_peak","100","2.600000","2.340000","2.860000","false"
"3x3","uct-0100","7","active_fronts","100","3.560000","3.320000","3.790000","false"
"3x3","uct-0100","7","dormant_fronts","100","0.920000","0.780000","1.070000","false"
"3x3","uct-0100","7","backlog","100","2.010000","1.810000","2.210000","false"
"3x3","uct-0100","7","decline_from_game_peak","100","2.220000","2.000000","2.450000","false"
"3x3","uct-0100","8","active_fronts","100","3.700000","3.450000","3.930000","false"
"3x3","uct-0100","8","dormant_fronts","100","0.980000","0.830000","1.130000","false"
"3x3","uct-0100","8","backlog","100","1.920000","1.730000","2.130000","false"
"3x3","uct-0100","8","decline_from_game_peak","100","2.080000","1.850000","2.320000","false"
"3x3","uct-0100","9","active_fronts","100","3.830000","3.610000","4.050000","false"
"3x3","uct-0100","9","dormant_fronts","100","0.900000","0.760000","1.050000","false"
"3x3","uct-0100","9","backlog","100","2.000000","1.780000","2.210000","false"
