experiment_id,game_index,turn_number,placement_number,mover,target,target_type,supply_source
"uct-10000-self-play","2","14","3","2","O11","objective","S12"
"uct-10000-self-play","2","15","1","1","S33","supply",""
"uct-10000-self-play","2","15","2","1","S23","supply",""
"uct-10000-self-play","2","15","3","1","O22","objective","S22"
"uct-10000-self-play","2","16","1","2","O11","objective","S12"
"uct-10000-self-play","2","16","2","2","O30","objective","S31"
"uct-10000-self-play","2","16","3","2","S21","supply",""
"uct-10000-self-play","2","17","1","1","O23","objective","S23"
"uct-10000-self-play","2","17","2","1","O22","objective","S33"
"uct-10000-self-play","2","17","3","1","O22","objective","S22"
"uct-10000-self-play","2","18","1","2","O20","objective","S31"
"uct-10000-self-play","2","18","2","2","O20","objective","S21"
"uct-10000-self-play","2","18","3","2","O11","objective","S12"
"uct-10000-self-play","2","19","1","1","O13","objective","S23"
"uct-10000-self-play","2","19","2","1","O32","objective","S33"
"uct-10000-self-play","2","19","3","1","S11","supply",""
"uct-10000-self-play","2","20","1","2","O20","objective","S31"
"uct-10000-self-play","2","20","2","2","O10","objective","S21"
"uct-10000-self-play","2","20","3","2","O01","objective","S12"
"uct-10000-self-play","2","21","1","1","O33","objective","S33"
"uct-10000-self-play","2","21","2","1","O00","objective","S11"
"uct-10000-self-play","2","21","3","1","O13","objective","S23"
"uct-10000-self-play","2","22","1","2","O10","objective","S21"
"uct-10000-self-play","2","22","2","2","O31","objective","S31"
"uct-10000-self-play","2","22","3","2","O01","objective","S12"
"uct-10000-self-play","2","23","1","1","O13","objective","S23"
"uct-10000-self-play","2","23","2","1","O33","objective","S33"
"uct-10000-self-play","2","23","3","1","S21","supply",""
"uct-10000-self-play","2","24","1","2","S13","supply",""
"uct-10000-self-play","2","24","2","2","S32","supply",""
"uct-10000-self-play","2","24","3","2","S21","supply",""
"uct-10000-self-play","3","1","1","1","S12","supply",""
"uct-10000-self-play","3","1","2","1","S11","supply",""
"uct-10000-self-play","3","1","3","1","S13","supply",""
"uct-10000-self-play","3","2","1","2","S13","supply",""
"uct-10000-self-play","3","2","2","2","S21","supply",""
"uct-10000-self-play","3","2","3","2","S31","supply",""
"uct-10000-self-play","3","3","1","1","O11","objective","S12"
"uct-10000-self-play","3","3","2","1","O11","objective","S11"
"uct-10000-self-play","3","3","3","1","S22","supply",""
"uct-10000-self-play","3","4","1","2","O30","objective","S31"
"uct-10000-self-play","3","4","2","2","O20","objective","S21"
"uct-10000-self-play","3","4","3","2","S30","supply",""
"uct-10000-self-play","3","5","1","1","S31","supply",""
"uct-10000-self-play","3","5","2","1","O11","objective","S12"
"uct-10000-self-play","3","5","3","1","O01","objective","S11"
"uct-10000-self-play","3","6","1","2","S31","supply",""
"uct-10000-self-play","3","6","2","2","O30","objective","S30"
"uct-10000-self-play","3","6","3","2","O20","objective","S21"
"uct-10000-self-play","3","7","1","1","O01","objective","S12"
"uct-10000-self-play","3","7","2","1","O01","objective","S11"
"uct-10000-self-play","3","7","3","1","O12","objective","S22"
"uct-10000-self-play","3","8","1","2","O21","objective","S21"
"uct-10000-self-play","3","8","2","2","O21","objective","S31"
"uct-10000-self-play","3","8","3","2","O30","objective","S30"
"uct-10000-self-play","3","9","1","1","O12","objective","S12"
"uct-10000-self-play","3","9","2","1","O12","objective","S22"
"uct-10000-self-play","3","9","3","1","S21","supply",""
"uct-10000-self-play","3","10","1","2","O21","objective","S31"
"uct-10000-self-play","3","10","2","2","O20","objective","S30"
"uct-10000-self-play","3","10","3","2","S33","supply",""
"uct-10000-self-play","3","11","1","1","O10","objective","S11"
"uct-10000-self-play","3","11","2","1","S33","supply",""
"uct-10000-self-play","3","11","3","1","O22","objective","S22"
"uct-10000-self-play","3","12","1","2","O31","objective","S31"
"uct-10000-self-play","3","12","2","2","S33","supply",""
"uct-10000-self-play","3","12","3","2","S32","supply",""
"uct-10000-self-play","3","13","1","1","O22","objective","S22"
"uct-10000-self-play","3","13","2","1","O10","objective","S11"
"uct-10000-self-play","3","13","3","1","S32","supply",""
"uct-10000-self-play","3","14","1","2","O31","objective","S31"
"uct-10000-self-play","3","14","2","2","S11","supply",""
"uct-10000-self-play","3","14","3","2","O23","objective","S33"
"uct-10000-self-play","3","15","1","1","O22","objective","S22"
"uct-10000-self-play","3","15","2","1","O02","objective","S12"
"uct-10000-self-play","3","15","3","1","S31","supply",""
"uct-10000-self-play","3","16","1","2","O23","objective","S33"
"uct-10000-self-play","3","16","2","2","S32","supply",""
"uct-10000-self-play","3","16","3","2","S24","supply",""
"uct-10000-self-play","3","17","1","1","S32","supply",""
"uct-10000-self-play","3","17","2","1","O02","objective","S12"
"uct-10000-self-play","3","17","3","1","S33","supply",""
"uct-10000-self-play","3","18","1","2","O23","objective","S24"
"uct-10000-self-play","3","18","2","2","S32","supply",""
"uct-10000-self-play","3","18","3","2","S12","supply",""
"uct-10000-self-play","3","19","1","1","S03","supply",""
"uct-10000-self-play","3","19","2","1","S13","supply",""
"uct-10000-self-play","3","19","3","1","S21","supply",""
"uct-10000-self-play","3","20","1","2","O31","objective","S32"
"uct-10000-self-play","3","20","2","2","O13","objective","S24"
"uct-10000-self-play","3","20","3","2","S13","supply",""
"uct-10000-self-play","3","21","1","1","O10","objective","S21"
"uct-10000-self-play","3","21","2","1","O02","objective","S03"
"uct-10000-self-play","3","21","3","1","S24","supply",""
"uct-10000-self-play","3","22","1","2","O32","objective","S32"
"uct-10000-self-play","3","22","2","2","S42","supply",""
"uct-10000-self-play","3","22","3","2","S33","supply",""
"uct-10000-self-play","3","23","1","1","S02","supply",""
"uct-10000-self-play","3","23","2","1","S42","supply",""
"uct-10000-self-play","3","23","3","1","O03","objective","S03"
"uct-10000-self-play","3","24","1","2","O32","objective","S33"
"uct-10000-self-play","3","24","2","2","O32","objective","S32"
"uct-10000-self-play","3","24","3","2","S43","supply",""
"uct-10000-self-play","4","1","1","1","S21","supply",""
"uct-10000-self-play","4","1","2","1","S22","supply",""
"uct-10000-self-play","4","1","3","1","S23","supply",""
"uct-10000-self-play","4","2","1","2","S22","supply",""
"uct-10000-self-play","4","2","2","2","S23","supply",""
"uct-10000-self-play","4","2","3","2","S11","supply",""
"uct-10000-self-play","4","3","1","1","S12","supply",""
"uct-10000-self-play","4","3","2","1","S22","supply",""
"uct-10000-self-play","4","3","3","1","O10","objective","S21"
"uct-10000-self-play","4","4","1","2","S22","supply",""
"uct-10000-self-play","4","4","2","2","S22","supply",""
"uct-10000-self-play","4","4","3","2","O01","objective","S11"
"uct-10000-self-play","4","5","1","1","O10","objective","S21"
"uct-10000-self-play","4","5","2","1","O11","objective","S12"
"uct-10000-self-play","4","5","3","1","S11","supply",""
"uct-10000-self-play","4","6","1","2","S21","supply",""
"uct-10000-self-play","4","6","2","2","S11","supply",""
"uct-10000-self-play","4","6","3","2","O11","objective","S22"
"uct-10000-self-play","4","7","1","1","S11","supply",""
"uct-10000-self-play","4","7","2","1","S11","supply",""
"uct-10000-self-play","4","7","3","1","O11","objective","S12"
"uct-10000-self-play","4","8","1","2","O11","objective","S22"
"uct-10000-self-play","4","8","2","2","S21","supply",""
"uct-10000-self-play","4","8","3","2","S23","supply",""
"uct-10000-self-play","4","9","1","1","O11","objective","S12"
"uct-10000-self-play","4","9","2","1","O10","objective","S11"
"uct-10000-self-play","4","9","3","1","S02","supply",""
"uct-10000-self-play","4","10","1","2","O20","objective","S21"
"uct-10000-self-play","4","10","2","2","O22","objective","S22"
"uct-10000-self-play","4","10","3","2","O22","objective","S23"
"uct-10000-self-play","4","11","1","1","O01","objective","S12"
"uct-10000-self-play","4","11","2","1","O01","objective","S11"
"uct-10000-self-play","4","11","3","1","S44","supply",""
"uct-10000-self-play","4","12","1","2","O12","objective","S22"
"uct-10000-self-play","4","12","2","2","O20","objective","S21"
"uct-10000-self-play","4","12","3","2","O12","objective","S23"
