"board","experiment_id","progress_band","allocation_pattern","turns","pattern_turns","turn_share"
"4x4","seeded-random-self-play","0-25%","3","600","8","0.013333"
"4x4","seeded-random-self-play","0-25%","2+1","600","178","0.296667"
"4x4","seeded-random-self-play","0-25%","1+1+1","600","414","0.690000"
"4x4","seeded-random-self-play","0-25%","mixed_layers","600","211","0.351667"
"4x4","seeded-random-self-play","25-50%","3","600","9","0.015000"
"4x4","seeded-random-self-play","25-50%","2+1","600","163","0.271667"
"4x4","seeded-random-self-play","25-50%","1+1+1","600","428","0.713333"
"4x4","seeded-random-self-play","25-50%","mixed_layers","600","405","0.675000"
"4x4","seeded-random-self-play","50-75%","3","600","7","0.011667"
"4x4","seeded-random-self-play","50-75%","2+1","600","135","0.225000"
"4x4","seeded-random-self-play","50-75%","1+1+1","600","458","0.763333"
"4x4","seeded-random-self-play","50-75%","mixed_layers","600","443","0.738333"
"4x4","seeded-random-self-play","75-100%","3","600","6","0.010000"
"4x4","seeded-random-self-play","75-100%","2+1","600","170","0.283333"
"4x4","seeded-random-self-play","75-100%","1+1+1","600","424","0.706667"
"4x4","seeded-random-self-play","75-100%","mixed_layers","600","450","0.750000"
"4x4","uct-0100-self-play","0-25%","3","600","13","0.021667"
"4x4","uct-0100-self-play","0-25%","2+1","600","200","0.333333"
"4x4","uct-0100-self-play","0-25%","1+1+1","600","387","0.645000"
"4x4","uct-0100-self-play","0-25%","mixed_layers","600","298","0.496667"
"4x4","uct-0100-self-play","25-50%","3","600","13","0.021667"
"4x4","uct-0100-self-play","25-50%","2+1","600","181","0.301667"
"4x4","uct-0100-self-play","25-50%","1+1+1","600","406","0.676667"
"4x4","uct-0100-self-play","25-50%","mixed_layers","600","472","0.786667"
"4x4","uct-0100-self-play","50-75%","3","600","5","0.008333"
"4x4","uct-0100-self-play","50-75%","2+1","600","198","0.330000"
"4x4","uct-0100-self-play","50-75%","1+1+1","600","397","0.661667"
"4x4","uct-0100-self-play","50-75%","mixed_layers","600","462","0.770000"
"4x4","uct-0100-self-play","75-100%","3","600","11","0.018333"
"4x4","uct-0100-self-play","75-100%","2+1","600","220","0.366667"
"4x4","uct-0100-self-play","75-100%","1+1+1","600","369","0.615000"
"4x4","uct-0100-self-play","75-100%","mixed_layers","600","444","0.740000"
"4x4","uct-0500-self-play","0-25%","3","600","8","0.013333"
"4x4","uct-0500-self-play","0-25%","2+1","600","165","0.275000"
"4x4","uct-0500-self-play","0-25%","1+1+1","600","427","0.711667"
"4x4","uct-0500-self-play","0-25%","mixed_layers","600","320","0.533333"
"4x4","uct-0500-self-play","25-50%","3","600","7","0.011667"
"4x4","uct-0500-self-play","25-50%","2+1","600","198","0.330000"
"4x4","uct-0500-self-play","25-50%","1+1+1","600","395","0.658333"
"4x4","uct-0500-self-play","25-50%","mixed_layers","600","452","0.753333"
"4x4","uct-0500-self-play","50-75%","3","600","18","0.030000"
