"board","experiment_id","secured_player_supplies","used_later","conversion_rate","objective_placements_after_securing"
"6x6","6x6-seeded-random","645","287","0.444961","459"
"6x6","6x6-uct-0100","227","94","0.414097","170"
"6x6","6x6-uct-0500","63","35","0.555556","65"
"4x4","seeded-random-self-play","368","134","0.364130","201"
"4x4","uct-0100-self-play","208","95","0.456731","174"
"4x4","uct-0500-self-play","107","69","0.644860","159"
