"board","experiment_id","game_index","window_first_turn","window_last_turn","window_turns","placements","normalized_entropy","largest_region_share","hhi","region_coverage"
"6x6","6x6-seeded-random","2","24","27","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","2","25","28","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","2","26","29","4","12","0.700727","0.416667","0.263889","0.666667"
"6x6","6x6-seeded-random","2","27","30","4","12","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-seeded-random","2","28","31","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","2","29","32","4","12","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","2","30","33","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","2","31","34","4","12","0.648149","0.416667","0.277778","0.555556"
"6x6","6x6-seeded-random","2","32","35","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","2","33","36","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","2","34","37","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","2","35","38","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","2","36","39","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","2","37","40","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","2","38","41","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","2","39","42","4","12","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-seeded-random","2","40","43","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","2","41","44","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","2","42","45","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","2","43","46","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","2","44","47","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","2","45","48","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","3","1","4","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","3","2","5","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","3","3","6","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","3","4","7","4","12","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","3","5","8","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","3","6","9","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","3","7","10","4","12","0.700727","0.416667","0.263889","0.666667"
"6x6","6x6-seeded-random","3","8","11","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","3","9","12","4","12","0.670620","0.333333","0.250000","0.555556"
"6x6","6x6-seeded-random","3","10","13","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","3","11","14","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","3","12","15","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","3","13","16","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","14","17","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","3","15","18","4","12","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","3","16","19","4","12","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-seeded-random","3","17","20","4","12","0.880930","0.250000","0.166667","0.888889"
"6x6","6x6-seeded-random","3","18","21","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","19","22","4","12","0.973197","0.166667","0.125000","1.000000"
"6x6","6x6-seeded-random","3","20","23","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","3","21","24","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","22","25","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","3","23","26","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","24","27","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","25","28","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","3","26","29","4","12","0.648149","0.416667","0.277778","0.555556"
"6x6","6x6-seeded-random","3","27","30","4","12","0.618042","0.500000","0.319444","0.555556"
"6x6","6x6-seeded-random","3","28","31","4","12","0.670620","0.500000","0.305556","0.666667"
"6x6","6x6-seeded-random","3","29","32","4","12","0.670620","0.500000","0.305556","0.666667"
"6x6","6x6-seeded-random","3","30","33","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","31","34","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","3","32","35","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","3","33","36","4","12","0.953352","0.250000","0.138889","1.000000"
"6x6","6x6-seeded-random","3","34","37","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","35","38","4","12","0.973197","0.166667","0.125000","1.000000"
"6x6","6x6-seeded-random","3","36","39","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","3","37","40","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","3","38","41","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","3","39","42","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","3","40","43","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","3","41","44","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","3","42","45","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","3","43","46","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","3","44","47","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","3","45","48","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","4","1","4","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","4","2","5","4","12","0.920620","0.166667","0.138889","0.888889"
