"board","experiment_id","search_level","game_index","window_first_turn","window_last_turn","normalized_entropy","largest_region_share","hhi","region_coverage"
"7x7","7x7-seeded-random","seeded-random","1","1","4","0.8481973151785929","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","2","5","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","3","6","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","4","7","0.8481973151785929","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","5","8","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","6","9","0.8283522741071693","0.25","0.18055555555555555","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","7","10","0.7430423562500168","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","8","11","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","9","12","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","10","13","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","11","14","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","12","15","0.7430423562500168","0.3333333333333333","0.2222222222222222","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","13","16","0.6577324383928644","0.3333333333333333","0.26388888888888884","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","1","14","17","0.8809297535714575","0.25","0.16666666666666669","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","15","18","0.7956198357143051","0.3333333333333333","0.20833333333333334","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","16","19","0.9007747946428813","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","17","20","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","18","21","0.7007269367552225","0.4166666666666667","0.2638888888888889","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","19","22","0.6180423562500168","0.5","0.3194444444444444","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","1","20","23","0.7007269367552227","0.4166666666666667","0.26388888888888884","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","21","24","0.6577324383928642","0.3333333333333333","0.26388888888888884","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","1","22","25","0.6481494572909344","0.4166666666666667","0.2777777777777778","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","1","23","26","0.7628873973214406","0.3333333333333333","0.20833333333333334","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","24","27","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","25","28","0.8283522741071695","0.25","0.18055555555555558","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","26","29","0.7430423562500168","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","27","30","0.7956198357143051","0.3333333333333333","0.20833333333333334","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","28","31","0.775774794642881","0.25","0.19444444444444442","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","29","32","0.7956198357143048","0.25","0.18055555555555555","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","30","33","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","31","34","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","32","35","0.9007747946428811","0.25","0.15277777777777776","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","33","36","0.8481973151785929","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","34","37","0.8154648767857289","0.3333333333333333","0.19444444444444445","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","35","38","0.8680423562500169","0.3333333333333333","0.18055555555555555","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","36","39","0.8680423562500167","0.16666666666666666","0.1527777777777778","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","37","40","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","38","41","0.7103099178571525","0.3333333333333333","0.25","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","39","42","0.7103099178571525","0.3333333333333333","0.25","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","40","43","0.775774794642881","0.25","0.19444444444444445","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","1","41","44","0.6481494572909344","0.4166666666666667","0.27777777777777773","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","1","42","45","0.8154648767857289","0.3333333333333333","0.19444444444444448","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","43","46","0.8680423562500169","0.3333333333333333","0.18055555555555555","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","44","47","0.7731494572909345","0.4166666666666667","0.23611111111111113","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","45","48","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","2","1","4","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","2","5","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","2","3","6","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","2","4","7","0.8481973151785929","0.25","0.16666666666666666","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","5","8","0.7956198357143047","0.25","0.18055555555555558","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","6","9","0.723197315178593","0.25","0.20833333333333331","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","2","7","10","0.6904648767857287","0.3333333333333333","0.2361111111111111","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","2","8","11","0.6904648767857287","0.3333333333333333","0.2361111111111111","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","2","9","12","0.7007269367552227","0.4166666666666667","0.26388888888888884","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","10","13","0.7103099178571525","0.3333333333333333","0.25","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","11","14","0.7628873973214406","0.3333333333333333","0.20833333333333334","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","12","15","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","13","16","0.7559297535714574","0.25","0.20833333333333334","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","14","17","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","15","18","0.8283522741071693","0.25","0.18055555555555555","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","16","19","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","17","20","0.8481973151785929","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","18","21","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","2","19","22","0.973197315178593","0.16666666666666666","0.125","1"
"7x7","7x7-seeded-random","seeded-random","2","20","23","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","2","21","24","0.8283522741071695","0.25","0.18055555555555558","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","22","25","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","23","26","0.8154648767857287","0.3333333333333333","0.19444444444444445","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","24","27","0.8283522741071693","0.25","0.18055555555555555","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","25","28","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","26","29","0.8680423562500167","0.16666666666666666","0.15277777777777776","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","27","30","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","2","28","31","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","2","29","32","0.8283522741071695","0.25","0.18055555555555555","0.7777777777777778"
