"board","experiment_id","search_level","game_index","supply_share","objective_share","secured_supply","secured_objectives","secured_supply_events","secured_supply_later_use_rate","mean_regions_used"
"7x7","7x7-seeded-random","seeded-random","46","0.5833333333333334","0.4166666666666667","2","2","2","0","2.8333333333333335"
"7x7","7x7-seeded-random","seeded-random","47","0.5902777777777778","0.4097222222222222","2","4","2","1","2.625"
"7x7","7x7-seeded-random","seeded-random","48","0.6041666666666666","0.3958333333333333","3","4","3","0","2.7916666666666665"
"7x7","7x7-seeded-random","seeded-random","49","0.6527777777777778","0.3472222222222222","3","3","3","0.3333333333333333","2.5625"
"7x7","7x7-seeded-random","seeded-random","50","0.6736111111111112","0.3263888888888889","6","2","6","0","2.7708333333333335"
"7x7","7x7-seeded-random","seeded-random","51","0.6944444444444444","0.3055555555555556","4","3","4","0.5","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","52","0.625","0.375","5","6","5","0.2","2.7708333333333335"
"7x7","7x7-seeded-random","seeded-random","53","0.625","0.375","5","4","5","0.6","2.6666666666666665"
"7x7","7x7-seeded-random","seeded-random","54","0.6527777777777778","0.3472222222222222","6","4","6","0.3333333333333333","2.6666666666666665"
"7x7","7x7-seeded-random","seeded-random","55","0.7430555555555556","0.2569444444444444","2","2","2","0","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","56","0.6388888888888888","0.3611111111111111","4","2","4","0.25","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","57","0.6666666666666666","0.3333333333333333","6","5","6","0.6666666666666666","2.5833333333333335"
"7x7","7x7-seeded-random","seeded-random","58","0.5902777777777778","0.4097222222222222","3","7","3","0.6666666666666666","2.6458333333333335"
"7x7","7x7-seeded-random","seeded-random","59","0.6041666666666666","0.3958333333333333","4","4","4","0.5","2.8125"
"7x7","7x7-seeded-random","seeded-random","60","0.6319444444444444","0.3680555555555556","4","2","4","0.5","2.6666666666666665"
"7x7","7x7-seeded-random","seeded-random","61","0.6180555555555556","0.3819444444444444","5","3","5","0.4","2.625"
"7x7","7x7-seeded-random","seeded-random","62","0.5902777777777778","0.4097222222222222","2","5","2","0.5","2.6666666666666665"
"7x7","7x7-seeded-random","seeded-random","63","0.6458333333333334","0.3541666666666667","5","3","5","0","2.6666666666666665"
"7x7","7x7-seeded-random","seeded-random","64","0.6666666666666666","0.3333333333333333","3","2","3","0.6666666666666666","2.5416666666666665"
"7x7","7x7-seeded-random","seeded-random","65","0.6180555555555556","0.3819444444444444","7","4","7","0.14285714285714285","2.8125"
"7x7","7x7-seeded-random","seeded-random","66","0.6597222222222222","0.3402777777777778","7","3","7","0.14285714285714285","2.7708333333333335"
"7x7","7x7-seeded-random","seeded-random","67","0.6041666666666666","0.3958333333333333","4","7","4","1","2.6458333333333335"
"7x7","7x7-seeded-random","seeded-random","68","0.6736111111111112","0.3263888888888889","8","3","8","0.25","2.6458333333333335"
"7x7","7x7-seeded-random","seeded-random","69","0.5763888888888888","0.4236111111111111","6","5","6","0.16666666666666666","2.6458333333333335"
"7x7","7x7-seeded-random","seeded-random","70","0.625","0.375","5","3","5","0.4","2.7708333333333335"
"7x7","7x7-seeded-random","seeded-random","71","0.6527777777777778","0.3472222222222222","4","3","4","0.75","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","72","0.6319444444444444","0.3680555555555556","7","4","7","0.42857142857142855","2.6041666666666665"
"7x7","7x7-seeded-random","seeded-random","73","0.6041666666666666","0.3958333333333333","8","5","8","0","2.7083333333333335"
"7x7","7x7-seeded-random","seeded-random","74","0.6041666666666666","0.3958333333333333","3","4","3","0.3333333333333333","2.6041666666666665"
"7x7","7x7-seeded-random","seeded-random","75","0.6388888888888888","0.3611111111111111","6","3","6","0.16666666666666666","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","76","0.5833333333333334","0.4166666666666667","2","4","2","1","2.7083333333333335"
"7x7","7x7-seeded-random","seeded-random","77","0.6180555555555556","0.3819444444444444","8","5","8","0.25","2.7291666666666665"
"7x7","7x7-seeded-random","seeded-random","78","0.6944444444444444","0.3055555555555556","3","3","3","0","2.8541666666666665"
"7x7","7x7-seeded-random","seeded-random","79","0.5555555555555556","0.4444444444444444","3","7","3","1","2.7083333333333335"
"7x7","7x7-seeded-random","seeded-random","80","0.5833333333333334","0.4166666666666667","3","2","3","0.3333333333333333","2.75"
"7x7","7x7-seeded-random","seeded-random","81","0.7222222222222222","0.2777777777777778","4","3","4","0.25","2.6666666666666665"
"7x7","7x7-seeded-random","seeded-random","82","0.7013888888888888","0.2986111111111111","8","2","8","0","2.7083333333333335"
