"domain","scope","board","search_level","metric","games","mean"
"spatial","mean-four-turn-window","7x7","uct-0100","largest_region_share","50","0.274630"
"spatial","mean-four-turn-window","7x7","uct-0100","hhi","50","0.187358"
"spatial","mean-four-turn-window","7x7","uct-0100","region_coverage","50","0.749679"
"spatial","mean-four-turn-window","7x7","uct-0500","normalized_entropy","50","0.797616"
"spatial","mean-four-turn-window","7x7","uct-0500","largest_region_share","50","0.286333"
"spatial","mean-four-turn-window","7x7","uct-0500","hhi","50","0.195759"
"spatial","mean-four-turn-window","7x7","uct-0500","region_coverage","50","0.728148"
"spatial","mean-four-turn-window","7x7","uct-1000","normalized_entropy","50","0.791208"
"spatial","mean-four-turn-window","7x7","uct-1000","largest_region_share","50","0.292444"
"spatial","mean-four-turn-window","7x7","uct-1000","hhi","50","0.199562"
"spatial","mean-four-turn-window","7x7","uct-1000","region_coverage","50","0.721481"
"concurrent","window-4","3x3","seeded-random","mean_active_regions","100","3.593889"
"concurrent","window-4","3x3","seeded-random","multi_active_turn_rate","100","0.839444"
"concurrent","window-4","3x3","seeded-random","mixed_leadership_turn_rate","100","0.665555"
"concurrent","window-4","3x3","seeded-random","mean_opportunity_adjusted_activity","100","3.596134"
"concurrent","window-4","3x3","uct-0100","mean_active_regions","100","3.409444"
"concurrent","window-4","3x3","uct-0100","multi_active_turn_rate","100","0.847778"
"concurrent","window-4","3x3","uct-0100","mixed_leadership_turn_rate","100","0.746667"
"concurrent","window-4","3x3","uct-0100","mean_opportunity_adjusted_activity","100","3.497166"
"concurrent","window-4","3x3","uct-0500","mean_active_regions","100","3.064445"
"concurrent","window-4","3x3","uct-0500","multi_active_turn_rate","100","0.850000"
"concurrent","window-4","3x3","uct-0500","mixed_leadership_turn_rate","100","0.778333"
"concurrent","window-4","3x3","uct-0500","mean_opportunity_adjusted_activity","100","3.199982"
"concurrent","window-4","3x3","uct-1000","mean_active_regions","100","2.775556"
"concurrent","window-4","3x3","uct-1000","multi_active_turn_rate","100","0.847222"
"concurrent","window-4","3x3","uct-1000","mixed_leadership_turn_rate","100","0.798889"
"concurrent","window-4","3x3","uct-1000","mean_opportunity_adjusted_activity","100","2.980081"
"concurrent","window-4","4x4","seeded-random","mean_active_regions","100","4.369167"
"concurrent","window-4","4x4","seeded-random","multi_active_turn_rate","100","0.886667"
"concurrent","window-4","4x4","seeded-random","mixed_leadership_turn_rate","100","0.747917"
"concurrent","window-4","4x4","seeded-random","mean_opportunity_adjusted_activity","100","4.333845"
"concurrent","window-4","4x4","uct-0100","mean_active_regions","100","4.087917"
"concurrent","window-4","4x4","uct-0100","multi_active_turn_rate","100","0.870417"
"concurrent","window-4","4x4","uct-0100","mixed_leadership_turn_rate","100","0.798750"
