"board","experiment_id","search_level","game_index","band","mean_active_fronts","mean_dormant_fronts","mean_backlog","multi_active_turn_rate","multi_unattended_turn_rate","decline_from_game_peak","placement_entropy","opportunity_entropy","entropy_gap","placement_hhi","opportunity_hhi","hhi_gap","placement_largest_share","opportunity_largest_share","largest_share_gap","placement_regions","opportunity_regions"
"7x7","7x7-seeded-random","seeded-random","1","1","4.166666666666667","1.25","2.5","0.8333333333333334","0.75","3.8333333333333335","0.972891192409974","0.9958014044845809","-0.02291021207460686","0.1234567901234568","0.11310769004548017","0.010349100077976625","0.16666666666666666","0.13183279742765272","0.03483386923901394","9","9"
"7x7","7x7-seeded-random","seeded-random","1","2","5.833333333333333","1.8333333333333333","3.25","1","1","2.1666666666666665","0.9304911754108445","0.9971117191006511","-0.06662054368980663","0.14351851851851855","0.11251623801001427","0.031002280508504274","0.19444444444444445","0.13183856502242153","0.06260587942202292","9","9"
"7x7","7x7-seeded-random","seeded-random","1","3","6.166666666666667","1.8333333333333333","3.75","1","1","1.8333333333333333","0.9558738032062957","0.9967042872331038","-0.04083048402680811","0.13117283950617284","0.11271104670010104","0.018461792806071797","0.19444444444444445","0.13100436681222707","0.06344007763221737","9","9"
"7x7","7x7-seeded-random","seeded-random","1","4","6.833333333333333","2.3333333333333335","4.083333333333333","1","1","1.1666666666666667","0.9278038390868095","0.9977026047944102","-0.06989876570760067","0.15277777777777785","0.11222737053156634","0.040550407246211506","0.2777777777777778","0.12674825174825174","0.15102952602952605","9","9"
"7x7","7x7-seeded-random","seeded-random","2","1","1.75","0.16666666666666666","0.6666666666666666","0.5833333333333334","0.25","7.25","0.8904329715272894","0.9940951658846058","-0.10366219435731638","0.16512345679012347","0.11399880579321045","0.05112465099691302","0.25","0.13569937369519833","0.11430062630480167","9","9"
"7x7","7x7-seeded-random","seeded-random","2","2","6.083333333333333","1.75","3.6666666666666665","1","0.9166666666666666","2.9166666666666665","0.9757188442777195","0.9962346093442418","-0.020515765066522307","0.1234567901234568","0.11299064662629757","0.010466143497159228","0.19444444444444445","0.13970588235294118","0.05473856209150327","9","9"
"7x7","7x7-seeded-random","seeded-random","2","3","7","2.0833333333333335","4.083333333333333","1","1","2","0.9430104509915777","0.9968076408951732","-0.0537971899035955","0.13580246913580246","0.1126707902362296","0.023131678899572863","0.16666666666666666","0.13016157989228008","0.036505086774386575","9","9"
"7x7","7x7-seeded-random","seeded-random","2","4","6.75","2.1666666666666665","4.083333333333333","1","1","2.25","0.9469155298257704","0.9960517545122349","-0.0491362246864645","0.13580246913580246","0.11304960551713798","0.02275286361866448","0.19444444444444445","0.13506493506493505","0.05937950937950939","9","9"
"7x7","7x7-seeded-random","seeded-random","3","1","3.5","0.75","2","0.75","0.6666666666666666","4.5","0.9374728642675506","0.9931561432297538","-0.05568327896220315","0.1373456790123457","0.11436485951721409","0.022980819495131616","0.19444444444444445","0.13963480128893663","0.05480964315550782","9","9"
"7x7","7x7-seeded-random","seeded-random","3","2","4.916666666666667","1.4166666666666667","2.5833333333333335","1","0.8333333333333334","3.0833333333333335","0.8918770736599684","0.9976075650097529","-0.10573049134978452","0.15123456790123457","0.1123028120713306","0.03893175582990398","0.2222222222222222","0.1361111111111111","0.08611111111111111","8","9"
"7x7","7x7-seeded-random","seeded-random","3","3","6.166666666666667","2.0833333333333335","3.4166666666666665","1","0.9166666666666666","1.8333333333333333","0.9338498630952542","0.9981707388228527","-0.06432087572759848","0.14506172839506176","0.11203710531933472","0.03302462307572704","0.25","0.1356828193832599","0.1143171806167401","9","9"
"7x7","7x7-seeded-random","seeded-random","3","4","5.666666666666667","1.9166666666666667","3.25","1","0.9166666666666666","2.3333333333333335","0.9263597369541305","0.9967239354351677","-0.07036419848103714","0.14197530864197533","0.11262881338638915","0.029346495255586177","0.16666666666666666","0.12626262626262627","0.04040404040404039","9","9"
"7x7","7x7-seeded-random","seeded-random","4","1","3.3333333333333335","0.75","1.5833333333333333","0.9166666666666666","0.5833333333333334","5.666666666666667","0.895071400693945","0.993511144219932","-0.09843974352598706","0.15895061728395063","0.11419646899049342","0.04475414829345721","0.2222222222222222","0.13404255319148936","0.08817966903073285","9","9"
"7x7","7x7-seeded-random","seeded-random","4","2","5.75","1.5833333333333333","3.25","1","1","3.25","0.9797325657229703","0.9940834086599742","-0.01435084293700395","0.12037037037037039","0.1138589831048695","0.0065113872655008925","0.1388888888888889","0.12984670874661858","0.009042180142270317","9","9"
"7x7","7x7-seeded-random","seeded-random","4","3","7.083333333333333","2.4166666666666665","4.416666666666667","1","1","1.9166666666666667","0.9496254646820526","0.9975657780000792","-0.04794031331802662","0.14351851851851855","0.11229285813439503","0.031225660384123513","0.2777777777777778","0.1278772378516624","0.14990053992611538","9","9"
"7x7","7x7-seeded-random","seeded-random","4","4","7.083333333333333","2.5","4.583333333333333","1","1","1.9166666666666667","0.9503362164822683","0.9993180873957572","-0.048981870913488934","0.13580246913580252","0.11144710676539794","0.024355362370404574","0.19444444444444445","0.12172442941673711","0.07272001502770734","9","9"
"7x7","7x7-seeded-random","seeded-random","5","1","2.9166666666666665","0.9166666666666666","1.6666666666666667","0.8333333333333334","0.5","6.083333333333333","0.9466334521638744","0.9929061062972865","-0.04627265413341208","0.1342592592592593","0.11445801192759057","0.019801247331668728","0.19444444444444445","0.13382507903055849","0.06061936541388596","9","9"
"7x7","7x7-seeded-random","seeded-random","5","2","4.833333333333333","1.5833333333333333","2.8333333333333335","1","0.8333333333333334","4.166666666666667","0.9274371639205778","0.9971660736745529","-0.06972890975397505","0.14197530864197533","0.11246374038629088","0.029511568255684448","0.19444444444444445","0.12754158964879853","0.06690285479564592","9","9"
"7x7","7x7-seeded-random","seeded-random","5","3","6.333333333333333","2.25","4","1","1","2.6666666666666665","0.9258287011374664","0.9975422555740853","-0.07171355443661886","0.14660493827160498","0.11230212322070311","0.034302815050901866","0.19444444444444445","0.1301989150090416","0.06424552943540285","9","9"
"7x7","7x7-seeded-random","seeded-random","5","4","6.583333333333333","1.8333333333333333","3.75","1","1","2.4166666666666665","0.930998166120786","0.9978610020826022","-0.06686283596181619","0.1419753086419753","0.11213698746603272","0.02983832117594258","0.2222222222222222","0.1301989150090416","0.09202330721318061","9","9"
"7x7","7x7-seeded-random","seeded-random","6","1","3.1666666666666665","0.8333333333333334","1.75","0.6666666666666666","0.5833333333333334","5.833333333333333","0.9861212197909235","0.9948302289618933","-0.00870900917096984","0.11728395061728396","0.11364319574517284","0.0036407548721111155","0.1388888888888889","0.13763440860215054","0.0012544802867383575","9","9"
"7x7","7x7-seeded-random","seeded-random","6","2","5.5","1.8333333333333333","3.3333333333333335","1","0.9166666666666666","3.5","0.9427840913690565","0.9954307016349463","-0.05264661026588979","0.1404320987654321","0.11326272694909219","0.027169371816339924","0.2222222222222222","0.1320754716981132","0.090146750524109","9","9"
"7x7","7x7-seeded-random","seeded-random","6","3","6.833333333333333","2","3.9166666666666665","1","1","2.1666666666666665","0.9803813185510978","0.9983797722371864","-0.017998453686088656","0.12037037037037038","0.11190606160940934","0.008464308760961034","0.16666666666666666","0.12780656303972365","0.038860103626943004","9","9"
"7x7","7x7-seeded-random","seeded-random","6","4","7.083333333333333","2.5","4.583333333333333","1","1","1.9166666666666667","0.9449629904086739","0.9979842205400068","-0.053021230131332864","0.13734567901234573","0.11210047787966802","0.02524520113267771","0.19444444444444445","0.12738301559792028","0.06706142884652416","9","9"
"7x7","7x7-seeded-random","seeded-random","7","1","3.3333333333333335","0.8333333333333334","1.6666666666666667","0.8333333333333334","0.6666666666666666","4.666666666666667","0.931873278571435","0.9873648923909912","-0.05549161381955625","0.14351851851851855","0.11689842990166842","0.026620088616850127","0.2222222222222222","0.13963480128893663","0.08258742093328558","9","9"
"7x7","7x7-seeded-random","seeded-random","7","2","5.833333333333333","1.8333333333333333","3.3333333333333335","1","1","2.1666666666666665","0.9430104509915777","0.9971900798711874","-0.0541796288796097","0.13580246913580246","0.11247681251407629","0.02332565662172617","0.16666666666666666","0.1321266968325792","0.03453996983408747","9","9"
"7x7","7x7-seeded-random","seeded-random","7","3","5.333333333333333","1.3333333333333333","3.0833333333333335","1","1","2.6666666666666665","0.9131056644664585","0.9966560377205876","-0.08355037325412917","0.15123456790123457","0.11279262546229836","0.038441942438936214","0.2222222222222222","0.1410488245931284","0.08117339762909381","9","9"
