"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","region","turn_p1_placements","turn_p2_placements","cumulative_p1_placements","cumulative_p2_placements","p1_controlled_supply","p2_controlled_supply","p1_secured_supply","p2_secured_supply","p1_advantage_objective","p2_advantage_objective","p1_secured_objective","p2_secured_objective","p1_objective_pieces","p2_objective_pieces","p1_unsecured_presence","p2_unsecured_presence","local_lead","supply_points","objectives","total_points","regional_capacity_share"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","LL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","LM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","LH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","ML","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","MM","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","MH","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","HL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","1","0.017857","1","HH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","LL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","LM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","LH","0","2","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","ML","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","MM","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","HL","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","0.035714","2","HH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","LL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","LM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","LH","1","0","1","2","0","1","0","0","0","0","0","0","0","0","1","2","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","ML","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","MM","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","HL","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","3","0.053571","1","HH","2","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","LL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","LM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","LH","0","1","1","3","0","2","0","0","0","0","0","0","0","0","1","3","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","ML","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","MM","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","HL","0","2","0","3","0","2","0","0","0","1","0","0","0","1","0","3","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","4","0.071429","2","HH","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","LL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","LM","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","LH","0","0","1","3","0","2","0","0","0","0","0","0","0","0","1","3","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","ML","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","MM","1","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","HL","1","0","1","3","1","2","0","0","0","1","0","0","0","1","1","3","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","5","0.089286","1","HH","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","LL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","LM","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","LH","0","1","1","4","0","3","0","0","0","0","0","0","0","0","1","4","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","ML","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","MM","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","HL","0","0","1","3","1","2","0","0","0","1","0","0","0","1","1","3","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","6","0.107143","2","HH","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","LL","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","LM","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","LH","0","0","1","4","0","3","0","0","0","0","0","0","0","0","1","4","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","ML","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","MM","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","HL","0","0","1","3","1","2","0","0","0","1","0","0","0","1","1","3","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","7","0.125000","1","HH","2","0","4","0","3","0","0","0","0","0","0","0","0","0","4","0","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","LL","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","LM","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","LH","0","0","1","4","0","3","0","0","0","0","0","0","0","0","1","4","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","ML","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","MM","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","HL","0","1","1","4","1","3","0","0","0","1","0","0","0","1","1","4","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","8","0.142857","2","HH","0","1","4","1","3","0","0","0","0","0","0","0","0","0","4","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","LL","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","LM","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","LH","0","0","1","4","0","3","0","0","0","0","0","0","0","0","1","4","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","ML","1","0","2","1","1","1","0","0","0","0","0","0","0","0","2","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","MM","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","HL","0","0","1","4","1","3","0","0","0","1","0","0","0","1","1","4","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","9","0.160714","1","HH","2","0","6","1","4","0","0","0","1","0","0","0","1","0","6","1","1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","LL","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","LM","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","LH","0","1","1","5","0","4","0","0","0","0","0","0","0","0","1","5","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","ML","0","0","2","1","1","1","0","0","0","0","0","0","0","0","2","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","MM","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","HL","0","1","1","5","1","3","0","0","0","2","0","0","0","2","1","5","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","HM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","10","0.178571","2","HH","0","1","6","2","4","1","0","0","1","0","0","0","1","0","6","2","1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","LL","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","LM","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","LH","0","0","1","5","0","4","0","0","0","0","0","0","0","0","1","5","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","ML","0","0","2","1","1","1","0","0","0","0","0","0","0","0","2","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","MM","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","HL","1","0","2","5","1","2","0","0","0","2","0","0","0","2","2","5","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","HM","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","11","0.196429","1","HH","1","0","7","2","4","1","0","0","1","0","0","0","2","0","7","2","1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","LL","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","LM","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","LH","0","0","1","5","0","4","0","0","0","0","0","0","0","0","1","5","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","ML","0","1","2","2","1","2","0","0","0","0","0","0","0","0","2","2","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","MM","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","HL","0","1","2","6","1","2","0","0","0","2","0","0","0","2","2","6","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","HM","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","HH","0","0","7","2","4","1","0","0","1","0","0","0","2","0","7","2","1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","LL","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","LM","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","LH","1","0","2","5","0","3","0","0","0","0","0","0","0","0","2","5","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","ML","0","0","2","2","1","2","0","0","0","0","0","0","0","0","2","2","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","MM","1","0","3","0","2","0","0","0","0","0","0","0","0","0","3","0","0","4","9","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","MH","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","HL","0","0","2","6","1","2","0","0","0","2","0","0","0","2","2","6","-1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","HM","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","HH","1","0","8","2","4","1","0","0","2","0","0","0","3","0","8","2","1","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","LL","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","LM","0","1","1","2","1","1","0","0","0","1","0","0","0","1","1","2","-1","6","6","12","0.106195"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","LH","0","2","2","7","0","4","0","0","0","0","0","0","0","0","2","7","0","9","4","13","0.115044"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","ML","0","0","2","2","1","2","0","0","0","0","0","0","0","0","2","2","0","6","6","12","0.106195"
