"board","experiment_id","iteration_limit","game_index","winner","moves","turns","end_type","final_p1_score","final_p2_score","p1_placements","p2_placements","trial_file"
"7x7-p84","7x7-p84-seeded-random","-1","1","2","168","56","NaturalEnd","5559","9548","84","84","experiments/issue-77/results-smoke/trials/7x7-p84-seeded-random/7x7-p84-seeded-random-0001.trl"
"7x7-p84","7x7-p84-uct-0100","100","1","2","168","56","NaturalEnd","26212","26297","84","84","experiments/issue-77/results-smoke/trials/7x7-p84-uct-0100/7x7-p84-uct-0100-0001.trl"
"7x7-p84","7x7-p84-uct-0500","500","1","2","168","56","NaturalEnd","51130","51813","84","84","experiments/issue-77/results-smoke/trials/7x7-p84-uct-0500/7x7-p84-uct-0500-0001.trl"
"7x7-p84","7x7-p84-uct-1000","1000","1","2","168","56","NaturalEnd","55724","59717","84","84","experiments/issue-77/results-smoke/trials/7x7-p84-uct-1000/7x7-p84-uct-1000-0001.trl"
"7x7-p96","7x7-p96-seeded-random","-1","1","2","192","64","NaturalEnd","16238","34864","96","96","experiments/issue-77/results-smoke/trials/7x7-p96-seeded-random/7x7-p96-seeded-random-0001.trl"
"7x7-p96","7x7-p96-uct-0100","100","1","2","192","64","NaturalEnd","49516","54073","96","96","experiments/issue-77/results-smoke/trials/7x7-p96-uct-0100/7x7-p96-uct-0100-0001.trl"
"7x7-p96","7x7-p96-uct-0500","500","1","2","192","64","NaturalEnd","63681","68240","96","96","experiments/issue-77/results-smoke/trials/7x7-p96-uct-0500/7x7-p96-uct-0500-0001.trl"
"7x7-p96","7x7-p96-uct-1000","1000","1","2","192","64","NaturalEnd","73388","73393","96","96","experiments/issue-77/results-smoke/trials/7x7-p96-uct-1000/7x7-p96-uct-1000-0001.trl"
