"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","3","1","S30","supply","","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","1","2","S37","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","2","O16","objective","S17","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","3","2","S25","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","1","S24","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","2","1","O45","objective","S56","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","3","1","O32","objective","S42","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","1","2","O00","objective","S10","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","2","O14","objective","S25","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","3","2","S67","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","1","1","S35","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","2","1","O64","objective","S65","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","23","0.410714","3","1","S21","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","1","2","O50","objective","S61","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","2","2","S10","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","24","0.428571","3","2","S76","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","1","1","O14","objective","S14","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","2","1","S63","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","25","0.446429","3","1","O10","objective","S11","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","1","2","S35","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","2","2","S21","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","26","0.464286","3","2","S13","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","1","S64","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","2","1","S60","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","3","1","S75","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","1","2","O24","objective","S25","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","2","S35","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","3","2","S24","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","1","O64","objective","S64","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","2","1","S24","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","3","1","S02","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","1","2","S14","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","2","S07","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","3","2","S03","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","1","O33","objective","S34","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","2","1","S61","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","3","1","S52","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","1","2","S76","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","2","S70","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","3","2","O25","objective","S35","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","1","O41","objective","S52","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","2","1","S33","supply","","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","3","1","O34","objective","S34","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","1","2","S47","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","2","O26","objective","S37","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","3","2","O44","objective","S44","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","1","O02","objective","S02","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","2","1","O32","objective","S43","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","3","1","S50","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","1","2","S61","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","2","O35","objective","S35","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","3","2","O13","objective","S13","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","1","S10","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","2","1","S67","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","3","1","S22","supply","","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","38","0.678571","1","2","S14","supply","","LM"
"7x7-p84","7x7-p84-seeded-random","-1","1","38","0.678571","2","2","S72","supply","","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","38","0.678571","3","2","S77","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","39","0.696429","1","1","S33","supply","","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","39","0.696429","2","1","O50","objective","S60","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","39","0.696429","3","1","S73","supply","","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","40","0.714286","1","2","O44","objective","S44","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","40","0.714286","2","2","O60","objective","S70","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","40","0.714286","3","2","O65","objective","S76","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","41","0.732143","1","1","O45","objective","S56","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","41","0.732143","2","1","O64","objective","S64","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","41","0.732143","3","1","O65","objective","S75","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","42","0.750000","1","2","O60","objective","S61","HL"
"7x7-p84","7x7-p84-seeded-random","-1","1","42","0.750000","2","2","O33","objective","S44","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","42","0.750000","3","2","S32","supply","","ML"
"7x7-p84","7x7-p84-seeded-random","-1","1","43","0.767857","1","1","S26","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","43","0.767857","2","1","O01","objective","S11","LL"
"7x7-p84","7x7-p84-seeded-random","-1","1","43","0.767857","3","1","O63","objective","S73","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","44","0.785714","1","2","S16","supply","","LH"
"7x7-p84","7x7-p84-seeded-random","-1","1","44","0.785714","2","2","S37","supply","","MH"
"7x7-p84","7x7-p84-seeded-random","-1","1","44","0.785714","3","2","O33","objective","S44","MM"
"7x7-p84","7x7-p84-seeded-random","-1","1","45","0.803571","1","1","S55","supply","","HH"
"7x7-p84","7x7-p84-seeded-random","-1","1","45","0.803571","2","1","O53","objective","S64","HM"
"7x7-p84","7x7-p84-seeded-random","-1","1","45","0.803571","3","1","O55","objective","S55","HH"
