"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","region","legal_target_count","total_legal_target_count","regional_opportunity_share"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","MH","7","85","0.082353"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","HL","13","85","0.152941"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","HM","6","85","0.070588"
"7x7-p84","7x7-p84-seeded-random","-1","1","12","0.214286","2","HH","10","85","0.117647"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","LL","13","93","0.139785"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","LM","10","93","0.107527"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","LH","9","93","0.096774"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","ML","8","93","0.086022"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","MM","12","93","0.129032"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","MH","9","93","0.096774"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","HL","11","93","0.118280"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","HM","8","93","0.086022"
"7x7-p84","7x7-p84-seeded-random","-1","1","13","0.232143","1","HH","13","93","0.139785"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","LL","11","87","0.126437"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","LM","9","87","0.103448"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","LH","13","87","0.149425"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","ML","12","87","0.137931"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","MM","6","87","0.068966"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","MH","7","87","0.080460"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","HL","13","87","0.149425"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","HM","6","87","0.068966"
"7x7-p84","7x7-p84-seeded-random","-1","1","14","0.250000","2","HH","10","87","0.114943"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","LL","13","93","0.139785"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","LM","10","93","0.107527"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","LH","9","93","0.096774"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","ML","8","93","0.086022"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","MM","12","93","0.129032"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","MH","9","93","0.096774"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","HL","11","93","0.118280"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","HM","8","93","0.086022"
"7x7-p84","7x7-p84-seeded-random","-1","1","15","0.267857","1","HH","13","93","0.139785"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","LL","11","85","0.129412"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","LM","8","85","0.094118"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","LH","12","85","0.141176"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","ML","12","85","0.141176"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","MM","6","85","0.070588"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","MH","7","85","0.082353"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","HL","13","85","0.152941"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","HM","6","85","0.070588"
"7x7-p84","7x7-p84-seeded-random","-1","1","16","0.285714","2","HH","10","85","0.117647"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","LL","13","94","0.138298"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","LM","10","94","0.106383"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","LH","9","94","0.095745"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","ML","8","94","0.085106"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","MM","12","94","0.127660"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","MH","10","94","0.106383"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","HL","11","94","0.117021"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","HM","8","94","0.085106"
"7x7-p84","7x7-p84-seeded-random","-1","1","17","0.303571","1","HH","13","94","0.138298"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","LL","11","89","0.123596"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","LM","8","89","0.089888"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","LH","12","89","0.134831"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","ML","12","89","0.134831"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","MM","10","89","0.112360"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","MH","7","89","0.078652"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","HL","13","89","0.146067"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","HM","6","89","0.067416"
"7x7-p84","7x7-p84-seeded-random","-1","1","18","0.321429","2","HH","10","89","0.112360"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","LL","13","93","0.139785"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","LM","10","93","0.107527"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","LH","9","93","0.096774"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","ML","8","93","0.086022"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","MM","12","93","0.129032"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","MH","10","93","0.107527"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","HL","11","93","0.118280"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","HM","8","93","0.086022"
"7x7-p84","7x7-p84-seeded-random","-1","1","19","0.339286","1","HH","12","93","0.129032"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","LL","11","89","0.123596"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","LM","8","89","0.089888"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","LH","12","89","0.134831"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","ML","12","89","0.134831"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","MM","10","89","0.112360"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","MH","7","89","0.078652"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","HL","13","89","0.146067"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","HM","6","89","0.067416"
"7x7-p84","7x7-p84-seeded-random","-1","1","20","0.357143","2","HH","10","89","0.112360"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","LL","13","95","0.136842"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","LM","10","95","0.105263"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","LH","9","95","0.094737"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","ML","10","95","0.105263"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","MM","12","95","0.126316"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","MH","10","95","0.105263"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","HL","11","95","0.115789"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","HM","8","95","0.084211"
"7x7-p84","7x7-p84-seeded-random","-1","1","21","0.375000","1","HH","12","95","0.126316"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","LL","11","89","0.123596"
"7x7-p84","7x7-p84-seeded-random","-1","1","22","0.392857","2","LM","7","89","0.078652"
