"board","experiment_id","search_level","game_index","window_turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","mean_opportunity_adjusted_activity","focus_switch_rate","focus_eligible_fraction","no_dominant_turn_rate"
"7x7-p72","7x7-seeded-random","seeded-random","1","4","5.75","0.9583333333333334","46","0.9583333333333334","1.9791666666666667","0.7291666666666666","0.7916666666666666","5.827377336305257","1","0.0425531914893617","0.7291666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","2","4","5.395833333333333","0.8958333333333334","43","0.8958333333333334","1.9375","0.6666666666666666","0.875","5.411843989279705","1","0.0851063829787234","0.75"
"7x7-p72","7x7-seeded-random","seeded-random","3","4","5.0625","0.9375","45","0.9375","2.5625","0.8125","0.8958333333333334","5.0875058597695055","0.3333333333333333","0.06382978723404255","0.75"
"7x7-p72","7x7-seeded-random","seeded-random","4","4","5.8125","0.9791666666666666","47","0.9791666666666666","2.125","0.7708333333333334","0.875","5.771627561310736","1","0.10638297872340426","0.6458333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","5","4","5.166666666666667","0.9583333333333334","46","0.9583333333333334","2","0.7291666666666666","0.875","5.193983959674525","1","0.06382978723404255","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","6","4","5.645833333333333","0.9166666666666666","44","0.9166666666666666","1.9583333333333333","0.625","0.8958333333333334","5.719102393978454","0.8333333333333334","0.1276595744680851","0.75"
"7x7-p72","7x7-seeded-random","seeded-random","7","4","5.083333333333333","0.9583333333333334","46","0.9583333333333334","2.125","0.75","0.8541666666666666","5.034939062101897","1","0.06382978723404255","0.7083333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","8","4","5.791666666666667","0.9166666666666666","44","0.9166666666666666","2.125","0.75","0.875","5.832919320175834","0.5","0.0425531914893617","0.75"
"7x7-p72","7x7-seeded-random","seeded-random","9","4","5.3125","0.8958333333333334","43","0.8958333333333334","1.75","0.5833333333333334","0.875","5.300509367001589","1","0.14893617021276595","0.625"
"7x7-p72","7x7-seeded-random","seeded-random","10","4","5.770833333333333","0.9583333333333334","46","0.9583333333333334","2.1666666666666665","0.75","0.8125","5.748954701340165","1","0.0851063829787234","0.7083333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","11","4","5.3125","0.9375","45","0.9375","2.0208333333333335","0.75","0.8958333333333334","5.316502714617398","1","0.0851063829787234","0.7708333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","12","4","5.916666666666667","0.9583333333333334","46","0.9583333333333334","2.0833333333333335","0.7291666666666666","0.8541666666666666","5.9278189431022135","1","0.0851063829787234","0.7083333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","13","4","4.9375","0.9375","45","0.9375","2.3541666666666665","0.8333333333333334","0.8125","4.88994096089675","1","0.02127659574468085","0.7291666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","14","4","5.75","0.9583333333333334","46","0.9583333333333334","2.4791666666666665","0.8958333333333334","0.9375","5.736632560509035","0.5","0.0425531914893617","0.8541666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","15","4","5.75","0.9166666666666666","44","0.9166666666666666","2.0416666666666665","0.6458333333333334","0.9375","5.757765278730535","1","0.06382978723404255","0.7083333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","16","4","5.708333333333333","0.9583333333333334","46","0.9583333333333334","1.7916666666666667","0.625","0.8541666666666666","5.764970452009958","0.8","0.10638297872340426","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","17","4","5.666666666666667","0.9166666666666666","44","0.9166666666666666","2.1666666666666665","0.75","0.875","5.614342962449457","1","0.10638297872340426","0.7083333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","18","4","5.541666666666667","0.9375","45","0.9375","2.375","0.7708333333333334","0.8541666666666666","5.532961546321063","1","0.02127659574468085","0.8333333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","19","4","5.5","0.9166666666666666","44","0.9166666666666666","2.1458333333333335","0.6666666666666666","0.9375","5.4809370869264855","1","0.0851063829787234","0.6875"
"7x7-p72","7x7-seeded-random","seeded-random","20","4","5.604166666666667","0.9375","45","0.9375","2.2083333333333335","0.7083333333333334","0.8333333333333334","5.6053843355026824","1","0.19148936170212766","0.6458333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","21","4","5.395833333333333","0.9375","45","0.9375","1.7083333333333333","0.5833333333333334","0.8958333333333334","5.295318960437632","0.7777777777777778","0.19148936170212766","0.5625"
"7x7-p72","7x7-seeded-random","seeded-random","22","4","5.604166666666667","0.8958333333333334","43","0.8958333333333334","2.2083333333333335","0.7708333333333334","0.8125","5.578809526437891","1","0.02127659574468085","0.7916666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","23","4","5.854166666666667","0.9166666666666666","41","0.8541666666666666","2","0.6875","0.9166666666666666","5.84004575183615","0.875","0.1702127659574468","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","24","4","5.75","0.9375","45","0.9375","2.25","0.7708333333333334","0.8541666666666666","5.785828403242039","1","0.10638297872340426","0.625"
"7x7-p72","7x7-seeded-random","seeded-random","25","4","6.145833333333333","0.9375","45","0.9375","1.8958333333333333","0.6666666666666666","0.8125","6.190011184426924","1","0.10638297872340426","0.7291666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","26","4","5.125","0.8958333333333334","43","0.8958333333333334","2.0833333333333335","0.75","0.8541666666666666","5.118235936031043","1","0.14893617021276595","0.6458333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","27","4","6.083333333333333","0.9791666666666666","47","0.9791666666666666","2.2291666666666665","0.7083333333333334","0.8958333333333334","6.011492356373624","0","0.02127659574468085","0.75"
"7x7-p72","7x7-seeded-random","seeded-random","28","4","5.125","0.8958333333333334","43","0.8958333333333334","1.8541666666666667","0.7083333333333334","0.9375","5.225217415103206","1","0.14893617021276595","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","29","4","5.229166666666667","0.9791666666666666","47","0.9791666666666666","1.8541666666666667","0.6666666666666666","0.8541666666666666","5.172887972117648","1","0.0851063829787234","0.7083333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","30","4","5.270833333333333","0.9791666666666666","47","0.9791666666666666","2.125","0.75","0.9166666666666666","5.255028640434583","1","0.10638297872340426","0.7083333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","31","4","5.666666666666667","0.9375","45","0.9375","2.375","0.8125","0.8958333333333334","5.6541217656899905","1","0.02127659574468085","0.7708333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","32","4","5.458333333333333","0.9583333333333334","46","0.9583333333333334","1.8958333333333333","0.7291666666666666","0.7708333333333334","5.4987700168720925","1","0.2765957446808511","0.5"
"7x7-p72","7x7-seeded-random","seeded-random","33","4","6.041666666666667","0.9375","45","0.9375","2.125","0.7708333333333334","0.9375","6.045425199430755","1","0.06382978723404255","0.6875"
"7x7-p72","7x7-seeded-random","seeded-random","34","4","5.333333333333333","0.9583333333333334","46","0.9583333333333334","1.9375","0.625","0.8958333333333334","5.295894374404749","1","0.2127659574468085","0.5625"
"7x7-p72","7x7-seeded-random","seeded-random","35","4","5.5625","0.9375","45","0.9375","2.7291666666666665","0.8125","0.8541666666666666","5.577178511503741","1","0.06382978723404255","0.7708333333333334"
"7x7-p72","7x7-seeded-random","seeded-random","36","4","5.5625","0.9583333333333334","46","0.9583333333333334","2.0625","0.75","0.7708333333333334","5.581829643579962","0.8","0.10638297872340426","0.6875"
"7x7-p72","7x7-seeded-random","seeded-random","37","4","5.541666666666667","0.9583333333333334","46","0.9583333333333334","1.9791666666666667","0.7083333333333334","0.8958333333333334","5.555769455028599","1","0.0851063829787234","0.6666666666666666"
