"board","experiment_id","search_level","game_index","threshold","region","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","revisit_lag","normalized_revisit_lag","right_censored"
"7x7-p72","7x7-seeded-random","seeded-random","1","2","HH","4","26","0.5416666666666666","27","33","reactivation_revisit","33","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","2","HH","5","34","0.7083333333333334","35","37","persistent_revisit","37","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","2","HH","6","40","0.8333333333333334","41","45","reactivation_revisit","45","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","2","HH","7","47","0.9791666666666666","48","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LL","1","40","0.8333333333333334","40","41","persistent_revisit","41","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LL","2","43","0.8958333333333334","43","44","persistent_revisit","44","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LL","3","48","1","48","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","1","3","0.0625","3","4","persistent_revisit","4","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","2","5","0.10416666666666667","5","8","persistent_revisit","8","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","3","11","0.22916666666666666","11","18","reactivation_revisit","18","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","4","19","0.3958333333333333","19","23","reactivation_revisit","23","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","5","25","0.5208333333333334","25","28","persistent_revisit","28","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","6","29","0.6041666666666666","29","32","persistent_revisit","32","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","7","33","0.6875","33","36","persistent_revisit","36","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","8","37","0.7708333333333334","37","38","persistent_revisit","38","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","9","39","0.8125","39","45","reactivation_revisit","45","6","0.125","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LM","10","46","0.9583333333333334","46","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LH","1","6","0.125","6","8","persistent_revisit","8","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LH","2","9","0.1875","9","12","persistent_revisit","12","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LH","3","17","0.3541666666666667","17","18","persistent_revisit","18","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LH","4","21","0.4375","21","35","reactivation_revisit","35","14","0.2916666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","LH","5","36","0.75","36","47","reactivation_revisit","47","11","0.22916666666666666","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","ML","1","18","0.375","18","24","reactivation_revisit","24","6","0.125","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","ML","2","25","0.5208333333333334","25","30","reactivation_revisit","30","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","ML","3","31","0.6458333333333334","31","32","persistent_revisit","32","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","ML","4","33","0.6875","33","34","persistent_revisit","34","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","ML","5","35","0.7291666666666666","35","36","persistent_revisit","36","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","ML","6","37","0.7708333333333334","37","40","persistent_revisit","40","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","ML","7","41","0.8541666666666666","41","43","persistent_revisit","43","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","ML","8","44","0.9166666666666666","44","48","reactivation_revisit","48","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","1","7","0.14583333333333334","7","10","persistent_revisit","10","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","2","12","0.25","12","13","persistent_revisit","13","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","3","14","0.2916666666666667","14","15","persistent_revisit","15","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","4","17","0.3541666666666667","17","18","persistent_revisit","18","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","5","19","0.3958333333333333","19","26","reactivation_revisit","26","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","6","27","0.5625","27","29","persistent_revisit","29","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","7","30","0.625","30","31","persistent_revisit","31","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","8","32","0.6666666666666666","32","33","persistent_revisit","33","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","9","34","0.7083333333333334","34","36","persistent_revisit","36","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","10","37","0.7708333333333334","37","40","persistent_revisit","40","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","11","41","0.8541666666666666","41","46","reactivation_revisit","46","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MM","12","47","0.9791666666666666","47","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","1","4","0.08333333333333333","4","6","persistent_revisit","6","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","2","7","0.14583333333333334","7","11","reactivation_revisit","11","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","3","12","0.25","12","13","persistent_revisit","13","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","4","14","0.2916666666666667","14","16","persistent_revisit","16","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","5","17","0.3541666666666667","17","20","persistent_revisit","20","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","6","21","0.4375","21","27","reactivation_revisit","27","6","0.125","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","7","28","0.5833333333333334","28","33","reactivation_revisit","33","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","8","34","0.7083333333333334","34","35","persistent_revisit","35","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","9","36","0.75","36","37","persistent_revisit","37","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","10","38","0.7916666666666666","38","43","reactivation_revisit","43","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","11","44","0.9166666666666666","44","47","persistent_revisit","47","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","MH","12","48","1","48","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","1","8","0.16666666666666666","8","9","persistent_revisit","9","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","2","10","0.20833333333333334","10","12","persistent_revisit","12","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","3","13","0.2708333333333333","13","14","persistent_revisit","14","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","4","15","0.3125","15","22","reactivation_revisit","22","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","5","23","0.4791666666666667","23","26","persistent_revisit","26","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","6","27","0.5625","27","28","persistent_revisit","28","1","0.020833333333333332","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","7","31","0.6458333333333334","31","34","persistent_revisit","34","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","8","35","0.7291666666666666","35","38","persistent_revisit","38","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","1","HL","9","43","0.8958333333333334","43","44","persistent_revisit","44","1","0.020833333333333332","false"
