"board","experiment_id","search_level","game_index","late_objective_placements","late_objective_placements_per_total","target_state_changed_rate","local_lead_changed_rate","contributes_to_securing_rate","global_comparison_changed_rate","global_outcome_still_mutable_rate","region_outcome_fixed_before_rate"
"7x7-p72","7x7-seeded-random","seeded-random","1","18","0.125","0.5","0","0.16666666666666666","0.16666666666666666","0.8888888888888888","0.05555555555555555"
"7x7-p72","7x7-seeded-random","seeded-random","2","13","0.09027777777777778","0.5384615384615384","0.15384615384615385","0.07692307692307693","0.23076923076923078","1","0.07692307692307693"
"7x7-p72","7x7-seeded-random","seeded-random","3","14","0.09722222222222222","0.7857142857142857","0.07142857142857142","0","0.35714285714285715","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","4","15","0.10416666666666667","0.5333333333333333","0.06666666666666667","0.13333333333333333","0","1","0.13333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","5","19","0.13194444444444445","0.8947368421052632","0","0.2631578947368421","0","0.9473684210526315","0.15789473684210525"
"7x7-p72","7x7-seeded-random","seeded-random","6","17","0.11805555555555555","0.47058823529411764","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.9411764705882353","0.058823529411764705"
"7x7-p72","7x7-seeded-random","seeded-random","7","21","0.14583333333333334","0.7619047619047619","0.14285714285714285","0.047619047619047616","0.047619047619047616","1","0.047619047619047616"
"7x7-p72","7x7-seeded-random","seeded-random","8","19","0.13194444444444445","0.6842105263157895","0.10526315789473684","0.10526315789473684","0","1","0.15789473684210525"
"7x7-p72","7x7-seeded-random","seeded-random","9","18","0.125","0.7222222222222222","0","0.16666666666666666","0.16666666666666666","0.8888888888888888","0.16666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","10","20","0.1388888888888889","0.7","0.1","0.05","0","0.9","0.1"
"7x7-p72","7x7-seeded-random","seeded-random","11","15","0.10416666666666667","0.8666666666666667","0.26666666666666666","0.13333333333333333","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","12","13","0.09027777777777778","0.6153846153846154","0.15384615384615385","0.15384615384615385","0.07692307692307693","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","13","19","0.13194444444444445","0.631578947368421","0.15789473684210525","0.10526315789473684","0.10526315789473684","0.9473684210526315","0.05263157894736842"
"7x7-p72","7x7-seeded-random","seeded-random","14","19","0.13194444444444445","0.6842105263157895","0.21052631578947367","0.10526315789473684","0","1","0.05263157894736842"
"7x7-p72","7x7-seeded-random","seeded-random","15","13","0.09027777777777778","0.9230769230769231","0.15384615384615385","0.23076923076923078","0","1","0.23076923076923078"
"7x7-p72","7x7-seeded-random","seeded-random","16","19","0.13194444444444445","0.7368421052631579","0.10526315789473684","0.10526315789473684","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","17","19","0.13194444444444445","0.7894736842105263","0.10526315789473684","0.10526315789473684","0.10526315789473684","0.9473684210526315","0.05263157894736842"
"7x7-p72","7x7-seeded-random","seeded-random","18","19","0.13194444444444445","0.631578947368421","0.2631578947368421","0.15789473684210525","0","0.7894736842105263","0.05263157894736842"
"7x7-p72","7x7-seeded-random","seeded-random","19","21","0.14583333333333334","0.7142857142857143","0.047619047619047616","0.09523809523809523","0.047619047619047616","1","0.09523809523809523"
"7x7-p72","7x7-seeded-random","seeded-random","20","13","0.09027777777777778","0.6923076923076923","0.07692307692307693","0.07692307692307693","0","0.9230769230769231","0.07692307692307693"
"7x7-p72","7x7-seeded-random","seeded-random","21","19","0.13194444444444445","0.5263157894736842","0","0.10526315789473684","0","0.9473684210526315","0.10526315789473684"
"7x7-p72","7x7-seeded-random","seeded-random","22","16","0.1111111111111111","0.6875","0.0625","0","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","23","19","0.13194444444444445","0.7368421052631579","0.10526315789473684","0.15789473684210525","0.05263157894736842","1","0.15789473684210525"
"7x7-p72","7x7-seeded-random","seeded-random","24","13","0.09027777777777778","0.6923076923076923","0.23076923076923078","0.15384615384615385","0","0.9230769230769231","0.07692307692307693"
"7x7-p72","7x7-seeded-random","seeded-random","25","11","0.0763888888888889","1","0","0.09090909090909091","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","26","12","0.08333333333333333","0.9166666666666666","0.16666666666666666","0.08333333333333333","0.16666666666666666","1","0.08333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","27","24","0.16666666666666666","0.7083333333333334","0.2916666666666667","0.16666666666666666","0.125","1","0.08333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","28","16","0.1111111111111111","0.6875","0.1875","0.0625","0.0625","1","0.0625"
"7x7-p72","7x7-seeded-random","seeded-random","29","18","0.125","0.6666666666666666","0.2777777777777778","0","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","30","14","0.09722222222222222","0.8571428571428571","0.21428571428571427","0.07142857142857142","0","0.9285714285714286","0"
"7x7-p72","7x7-seeded-random","seeded-random","31","17","0.11805555555555555","0.8235294117647058","0.23529411764705882","0.17647058823529413","0","0.8823529411764706","0.11764705882352941"
"7x7-p72","7x7-seeded-random","seeded-random","32","17","0.11805555555555555","0.7647058823529411","0.29411764705882354","0.058823529411764705","0.17647058823529413","0.9411764705882353","0.058823529411764705"
"7x7-p72","7x7-seeded-random","seeded-random","33","17","0.11805555555555555","0.7647058823529411","0","0","0","1","0.17647058823529413"
"7x7-p72","7x7-seeded-random","seeded-random","34","18","0.125","0.6111111111111112","0.1111111111111111","0.16666666666666666","0","0.8888888888888888","0.16666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","35","20","0.1388888888888889","0.75","0.15","0.05","0","0.95","0.15"
"7x7-p72","7x7-seeded-random","seeded-random","36","17","0.11805555555555555","0.7058823529411765","0.29411764705882354","0.058823529411764705","0","0.9411764705882353","0.058823529411764705"
"7x7-p72","7x7-seeded-random","seeded-random","37","17","0.11805555555555555","0.8823529411764706","0.5294117647058824","0","0.47058823529411764","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","38","23","0.1597222222222222","0.7391304347826086","0.13043478260869565","0.21739130434782608","0","0.8260869565217391","0.08695652173913043"
"7x7-p72","7x7-seeded-random","seeded-random","39","20","0.1388888888888889","0.9","0.15","0","0","0.9","0.15"
"7x7-p72","7x7-seeded-random","seeded-random","40","18","0.125","0.6111111111111112","0.16666666666666666","0.1111111111111111","0.2222222222222222","0.8888888888888888","0.1111111111111111"
"7x7-p72","7x7-seeded-random","seeded-random","41","17","0.11805555555555555","0.7058823529411765","0.35294117647058826","0.058823529411764705","0.058823529411764705","0.8823529411764706","0.058823529411764705"
"7x7-p72","7x7-seeded-random","seeded-random","42","16","0.1111111111111111","0.875","0.25","0.1875","0.0625","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","43","17","0.11805555555555555","0.7058823529411765","0.29411764705882354","0.058823529411764705","0.11764705882352941","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","44","16","0.1111111111111111","0.6875","0.3125","0.125","0","1","0.0625"
"7x7-p72","7x7-seeded-random","seeded-random","45","12","0.08333333333333333","0.75","0.25","0.16666666666666666","0.08333333333333333","0.8333333333333334","0.16666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","46","20","0.1388888888888889","0.6","0.45","0","0","0.8","0.1"
"7x7-p72","7x7-seeded-random","seeded-random","47","19","0.13194444444444445","0.8421052631578947","0.21052631578947367","0.15789473684210525","0.2631578947368421","0.9473684210526315","0.05263157894736842"
"7x7-p72","7x7-seeded-random","seeded-random","48","15","0.10416666666666667","0.8","0.26666666666666666","0.2","0.13333333333333333","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","49","18","0.125","0.8333333333333334","0.16666666666666666","0.05555555555555555","0","0.9444444444444444","0.05555555555555555"
"7x7-p72","7x7-seeded-random","seeded-random","50","13","0.09027777777777778","0.6923076923076923","0.15384615384615385","0.15384615384615385","0.07692307692307693","0.9230769230769231","0"
"7x7-p72","7x7-seeded-random","seeded-random","51","9","0.0625","0.4444444444444444","0.3333333333333333","0","0","0.7777777777777778","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","52","16","0.1111111111111111","0.75","0.1875","0.1875","0.0625","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","53","15","0.10416666666666667","0.8","0.06666666666666667","0.2","0.13333333333333333","1","0.13333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","54","15","0.10416666666666667","0.8","0.06666666666666667","0.2","0.06666666666666667","1","0.2"
"7x7-p72","7x7-seeded-random","seeded-random","55","9","0.0625","0.8888888888888888","0.1111111111111111","0.1111111111111111","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","56","19","0.13194444444444445","0.8421052631578947","0.21052631578947367","0.05263157894736842","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","57","17","0.11805555555555555","0.8823529411764706","0","0.17647058823529413","0.11764705882352941","0.8235294117647058","0.17647058823529413"
"7x7-p72","7x7-seeded-random","seeded-random","58","19","0.13194444444444445","0.7894736842105263","0.10526315789473684","0.3157894736842105","0","0.8421052631578947","0.10526315789473684"
"7x7-p72","7x7-seeded-random","seeded-random","59","12","0.08333333333333333","0.9166666666666666","0.16666666666666666","0.08333333333333333","0.08333333333333333","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","60","18","0.125","0.6111111111111112","0.1111111111111111","0.1111111111111111","0","0.8333333333333334","0"
"7x7-p72","7x7-seeded-random","seeded-random","61","15","0.10416666666666667","0.6666666666666666","0","0.2","0.13333333333333333","0.9333333333333333","0.06666666666666667"
"7x7-p72","7x7-seeded-random","seeded-random","62","23","0.1597222222222222","0.7391304347826086","0.21739130434782608","0.13043478260869565","0.043478260869565216","0.9565217391304348","0.13043478260869565"
"7x7-p72","7x7-seeded-random","seeded-random","63","13","0.09027777777777778","0.6153846153846154","0.23076923076923078","0.07692307692307693","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","64","16","0.1111111111111111","0.8125","0.25","0","0","1","0.0625"
"7x7-p72","7x7-seeded-random","seeded-random","65","15","0.10416666666666667","0.6","0.13333333333333333","0.2","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","66","17","0.11805555555555555","0.7058823529411765","0","0.11764705882352941","0.058823529411764705","0.8823529411764706","0.11764705882352941"
"7x7-p72","7x7-seeded-random","seeded-random","67","21","0.14583333333333334","0.9047619047619048","0.047619047619047616","0.23809523809523808","0","1","0.09523809523809523"
"7x7-p72","7x7-seeded-random","seeded-random","68","17","0.11805555555555555","0.8235294117647058","0.058823529411764705","0.17647058823529413","0","0.8235294117647058","0.058823529411764705"
"7x7-p72","7x7-seeded-random","seeded-random","69","18","0.125","0.6666666666666666","0.2777777777777778","0.16666666666666666","0","0.9444444444444444","0.05555555555555555"
"7x7-p72","7x7-seeded-random","seeded-random","70","14","0.09722222222222222","0.7857142857142857","0.2857142857142857","0.14285714285714285","0.14285714285714285","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","71","14","0.09722222222222222","0.6428571428571429","0.14285714285714285","0.07142857142857142","0","0.8571428571428571","0.14285714285714285"
"7x7-p72","7x7-seeded-random","seeded-random","72","18","0.125","0.8333333333333334","0.16666666666666666","0.1111111111111111","0.16666666666666666","0.9444444444444444","0.05555555555555555"
"7x7-p72","7x7-seeded-random","seeded-random","73","15","0.10416666666666667","0.7333333333333333","0.06666666666666667","0.13333333333333333","0.06666666666666667","1","0.06666666666666667"
"7x7-p72","7x7-seeded-random","seeded-random","74","20","0.1388888888888889","0.7","0.15","0.1","0","0.9","0"
"7x7-p72","7x7-seeded-random","seeded-random","75","19","0.13194444444444445","0.631578947368421","0.10526315789473684","0.05263157894736842","0.05263157894736842","1","0.10526315789473684"
"7x7-p72","7x7-seeded-random","seeded-random","76","20","0.1388888888888889","0.8","0.2","0.15","0.05","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","77","17","0.11805555555555555","0.7647058823529411","0.058823529411764705","0.29411764705882354","0.11764705882352941","0.8235294117647058","0.17647058823529413"
"7x7-p72","7x7-seeded-random","seeded-random","78","15","0.10416666666666667","0.6","0.13333333333333333","0","0","1","0.06666666666666667"
"7x7-p72","7x7-seeded-random","seeded-random","79","20","0.1388888888888889","0.75","0.25","0.2","0","0.9","0.15"
"7x7-p72","7x7-seeded-random","seeded-random","80","19","0.13194444444444445","0.5263157894736842","0.05263157894736842","0.05263157894736842","0","0.8421052631578947","0.15789473684210525"
"7x7-p72","7x7-seeded-random","seeded-random","81","13","0.09027777777777778","0.6153846153846154","0.15384615384615385","0.23076923076923078","0","0.9230769230769231","0"
"7x7-p72","7x7-seeded-random","seeded-random","82","8","0.05555555555555555","0.875","0","0","0","1","0.125"
"7x7-p72","7x7-seeded-random","seeded-random","83","20","0.1388888888888889","0.75","0.2","0","0","1","0.05"
"7x7-p72","7x7-seeded-random","seeded-random","84","22","0.1527777777777778","0.8181818181818182","0.18181818181818182","0.22727272727272727","0","0.9545454545454546","0.13636363636363635"
"7x7-p72","7x7-seeded-random","seeded-random","85","23","0.1597222222222222","0.7391304347826086","0.13043478260869565","0.08695652173913043","0","1","0.08695652173913043"
"7x7-p72","7x7-seeded-random","seeded-random","86","21","0.14583333333333334","0.7619047619047619","0.23809523809523808","0.047619047619047616","0.047619047619047616","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","87","11","0.0763888888888889","0.6363636363636364","0","0.2727272727272727","0.18181818181818182","0.8181818181818182","0.18181818181818182"
"7x7-p72","7x7-seeded-random","seeded-random","88","20","0.1388888888888889","0.85","0.2","0.1","0.1","1","0.05"
"7x7-p72","7x7-seeded-random","seeded-random","89","17","0.11805555555555555","0.8235294117647058","0.11764705882352941","0.058823529411764705","0","0.8235294117647058","0.11764705882352941"
"7x7-p72","7x7-seeded-random","seeded-random","90","20","0.1388888888888889","0.8","0.2","0.3","0.05","1","0.05"
"7x7-p72","7x7-seeded-random","seeded-random","91","15","0.10416666666666667","0.7333333333333333","0.06666666666666667","0.13333333333333333","0","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","92","17","0.11805555555555555","0.6470588235294118","0.23529411764705882","0.11764705882352941","0","0.9411764705882353","0.058823529411764705"
"7x7-p72","7x7-seeded-random","seeded-random","93","15","0.10416666666666667","0.8666666666666667","0.2","0","0","0.9333333333333333","0.06666666666666667"
"7x7-p72","7x7-seeded-random","seeded-random","94","17","0.11805555555555555","0.7647058823529411","0.29411764705882354","0.17647058823529413","0","0.9411764705882353","0.058823529411764705"
"7x7-p72","7x7-seeded-random","seeded-random","95","18","0.125","0.7222222222222222","0.16666666666666666","0.16666666666666666","0.05555555555555555","0.9444444444444444","0.16666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","96","16","0.1111111111111111","0.75","0.1875","0.1875","0.1875","1","0"
"7x7-p72","7x7-seeded-random","seeded-random","97","12","0.08333333333333333","0.75","0","0.08333333333333333","0.4166666666666667","1","0.08333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","98","12","0.08333333333333333","0.6666666666666666","0.08333333333333333","0.08333333333333333","0","0.9166666666666666","0.08333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","99","17","0.11805555555555555","0.7058823529411765","0.29411764705882354","0.11764705882352941","0","0.8235294117647058","0"
"7x7-p72","7x7-seeded-random","seeded-random","100","15","0.10416666666666667","0.8666666666666667","0.13333333333333333","0.26666666666666666","0.06666666666666667","0.8","0.2"
"7x7-p72","7x7-uct-0100","uct-0100","1","23","0.1597222222222222","0.8260869565217391","0.08695652173913043","0.4782608695652174","0.17391304347826086","1","0.13043478260869565"
"7x7-p72","7x7-uct-0100","uct-0100","2","23","0.1597222222222222","0.9130434782608695","0.08695652173913043","0.21739130434782608","0.08695652173913043","0.9130434782608695","0.13043478260869565"
"7x7-p72","7x7-uct-0100","uct-0100","3","20","0.1388888888888889","0.9","0.1","0.4","0.35","1","0.15"
"7x7-p72","7x7-uct-0100","uct-0100","4","20","0.1388888888888889","0.85","0.1","0.45","0.1","1","0.05"
"7x7-p72","7x7-uct-0100","uct-0100","5","23","0.1597222222222222","0.8260869565217391","0.13043478260869565","0.2608695652173913","0.21739130434782608","1","0.043478260869565216"
"7x7-p72","7x7-uct-0100","uct-0100","6","23","0.1597222222222222","0.9130434782608695","0.043478260869565216","0.4782608695652174","0.30434782608695654","1","0.08695652173913043"
"7x7-p72","7x7-uct-0100","uct-0100","7","24","0.16666666666666666","0.7083333333333334","0.16666666666666666","0.2916666666666667","0.08333333333333333","1","0.08333333333333333"
"7x7-p72","7x7-uct-0100","uct-0100","8","24","0.16666666666666666","0.7083333333333334","0.08333333333333333","0.2916666666666667","0.20833333333333334","1","0.16666666666666666"
"7x7-p72","7x7-uct-0100","uct-0100","9","23","0.1597222222222222","0.8260869565217391","0.21739130434782608","0.391304347826087","0.21739130434782608","1","0.17391304347826086"
"7x7-p72","7x7-uct-0100","uct-0100","10","24","0.16666666666666666","0.75","0.16666666666666666","0.25","0.08333333333333333","0.875","0.08333333333333333"
"7x7-p72","7x7-uct-0100","uct-0100","11","19","0.13194444444444445","0.6842105263157895","0.10526315789473684","0.21052631578947367","0.15789473684210525","0.9473684210526315","0.15789473684210525"
