"contrast_id","minuend_budget","subtrahend_budget","domain","scope","metric","games_minuend","games_subtrahend","mean_minuend","mean_subtrahend","difference_minuend_minus_subtrahend","ci_low","ci_high"
"96-minus-72","96","72","progress","0.25","recent_hhi","50","50","0.186944","0.197778","-0.010833","-0.029444","0.006389"
"96-minus-72","96","72","progress","0.25","recent_region_coverage","50","50","0.755556","0.733333","0.022222","-0.017778","0.064444"
"96-minus-84","96","84","progress","0.25","supply_share","50","50","0.664583","0.673810","-0.009226","-0.031845","0.013393"
"96-minus-84","96","84","progress","0.25","secured_supply","50","50","0.120000","0.160000","-0.040000","-0.180000","0.100000"
"96-minus-84","96","84","progress","0.25","secured_objectives","50","50","0.480000","0.440000","0.040000","-0.240000","0.320000"
"96-minus-84","96","84","progress","0.25","recent_normalized_entropy","50","50","0.817253","0.802579","0.014674","-0.014979","0.045796"
"96-minus-84","96","84","progress","0.25","recent_largest_region_share","50","50","0.271667","0.288333","-0.016667","-0.043333","0.010000"
"96-minus-84","96","84","progress","0.25","recent_hhi","50","50","0.186944","0.193889","-0.006944","-0.021944","0.009167"
"96-minus-84","96","84","progress","0.25","recent_region_coverage","50","50","0.755556","0.737778","0.017778","-0.024444","0.060000"
"84-minus-72","84","72","progress","0.5","supply_share","50","50","0.547857","0.548611","-0.000754","-0.018294","0.017143"
"84-minus-72","84","72","progress","0.5","secured_supply","50","50","0.640000","0.280000","0.360000","0.120000","0.580000"
"84-minus-72","84","72","progress","0.5","secured_objectives","50","50","5.840000","5.200000","0.640000","-0.060000","1.340000"
"84-minus-72","84","72","progress","0.5","recent_normalized_entropy","50","50","0.803364","0.808736","-0.005371","-0.036007","0.025112"
"84-minus-72","84","72","progress","0.5","recent_largest_region_share","50","50","0.296667","0.291667","0.005000","-0.021667","0.033333"
"84-minus-72","84","72","progress","0.5","recent_hhi","50","50","0.195556","0.192500","0.003056","-0.012500","0.019444"
"84-minus-72","84","72","progress","0.5","recent_region_coverage","50","50","0.742222","0.751111","-0.008889","-0.051111","0.035556"
"96-minus-72","96","72","progress","0.5","supply_share","50","50","0.550417","0.548611","0.001806","-0.014792","0.018472"
"96-minus-72","96","72","progress","0.5","secured_supply","50","50","0.640000","0.280000","0.360000","0.120000","0.600000"
"96-minus-72","96","72","progress","0.5","secured_objectives","50","50","5.560000","5.200000","0.360000","-0.380000","1.100000"
"96-minus-72","96","72","progress","0.5","recent_normalized_entropy","50","50","0.815752","0.808736","0.007016","-0.024603","0.037393"
