"domain","scope","board","search_level","metric","games","mean"
"placement","whole-game","7x7-p72","seeded-random","supply_share","100","0.634306"
"placement","whole-game","7x7-p72","seeded-random","mean_regions_used","100","2.693542"
"placement","whole-game","7x7-p72","seeded-random","secured_objectives_per_placement","100","0.024097"
"placement","whole-game","7x7-p72","uct-0100","supply_share","50","0.563194"
"placement","whole-game","7x7-p72","uct-0100","mean_regions_used","50","2.694583"
"placement","whole-game","7x7-p72","uct-0100","secured_objectives_per_placement","50","0.079444"
"placement","whole-game","7x7-p72","uct-0500","supply_share","50","0.472222"
"placement","whole-game","7x7-p72","uct-0500","mean_regions_used","50","2.631250"
"placement","whole-game","7x7-p72","uct-0500","secured_objectives_per_placement","50","0.129028"
"placement","whole-game","7x7-p72","uct-1000","supply_share","50","0.417083"
"placement","whole-game","7x7-p72","uct-1000","mean_regions_used","50","2.606667"
"placement","whole-game","7x7-p72","uct-1000","secured_objectives_per_placement","50","0.150278"
"placement","whole-game","7x7-p84","seeded-random","supply_share","100","0.622440"
"placement","whole-game","7x7-p84","seeded-random","mean_regions_used","100","2.697143"
"placement","whole-game","7x7-p84","seeded-random","secured_objectives_per_placement","100","0.028333"
"placement","whole-game","7x7-p84","uct-0100","supply_share","50","0.549762"
"placement","whole-game","7x7-p84","uct-0100","mean_regions_used","50","2.677857"
"placement","whole-game","7x7-p84","uct-0100","secured_objectives_per_placement","50","0.085238"
"placement","whole-game","7x7-p84","uct-0500","supply_share","50","0.474762"
"placement","whole-game","7x7-p84","uct-0500","mean_regions_used","50","2.621786"
"placement","whole-game","7x7-p84","uct-0500","secured_objectives_per_placement","50","0.133929"
"placement","whole-game","7x7-p84","uct-1000","supply_share","50","0.427738"
"placement","whole-game","7x7-p84","uct-1000","mean_regions_used","50","2.598571"
"placement","whole-game","7x7-p84","uct-1000","secured_objectives_per_placement","50","0.152857"
"placement","whole-game","7x7-p96","seeded-random","supply_share","100","0.609115"
"placement","whole-game","7x7-p96","seeded-random","mean_regions_used","100","2.682344"
"placement","whole-game","7x7-p96","seeded-random","secured_objectives_per_placement","100","0.036615"
"placement","whole-game","7x7-p96","uct-0100","supply_share","50","0.544792"
"placement","whole-game","7x7-p96","uct-0100","mean_regions_used","50","2.693437"
"placement","whole-game","7x7-p96","uct-0100","secured_objectives_per_placement","50","0.091250"
"placement","whole-game","7x7-p96","uct-0500","supply_share","50","0.478333"
"placement","whole-game","7x7-p96","uct-0500","mean_regions_used","50","2.639375"
"placement","whole-game","7x7-p96","uct-0500","secured_objectives_per_placement","50","0.134687"
"placement","whole-game","7x7-p96","uct-1000","supply_share","50","0.429792"
"placement","whole-game","7x7-p96","uct-1000","mean_regions_used","50","2.596875"
"placement","whole-game","7x7-p96","uct-1000","secured_objectives_per_placement","50","0.156250"
"spatial","mean-four-turn-window","7x7-p72","seeded-random","normalized_entropy","100","0.817633"
"spatial","mean-four-turn-window","7x7-p72","seeded-random","largest_region_share","100","0.271500"
"spatial","mean-four-turn-window","7x7-p72","seeded-random","hhi","100","0.185710"
"spatial","mean-four-turn-window","7x7-p72","seeded-random","region_coverage","100","0.754222"
"spatial","mean-four-turn-window","7x7-p72","uct-0100","normalized_entropy","50","0.814103"
"spatial","mean-four-turn-window","7x7-p72","uct-0100","largest_region_share","50","0.274630"
"spatial","mean-four-turn-window","7x7-p72","uct-0100","hhi","50","0.187358"
"spatial","mean-four-turn-window","7x7-p72","uct-0100","region_coverage","50","0.749679"
"spatial","mean-four-turn-window","7x7-p72","uct-0500","normalized_entropy","50","0.797616"
"spatial","mean-four-turn-window","7x7-p72","uct-0500","largest_region_share","50","0.286333"
"spatial","mean-four-turn-window","7x7-p72","uct-0500","hhi","50","0.195759"
"spatial","mean-four-turn-window","7x7-p72","uct-0500","region_coverage","50","0.728148"
"spatial","mean-four-turn-window","7x7-p72","uct-1000","normalized_entropy","50","0.791208"
"spatial","mean-four-turn-window","7x7-p72","uct-1000","largest_region_share","50","0.292444"
"spatial","mean-four-turn-window","7x7-p72","uct-1000","hhi","50","0.199562"
"spatial","mean-four-turn-window","7x7-p72","uct-1000","region_coverage","50","0.721481"
"spatial","mean-four-turn-window","7x7-p84","seeded-random","normalized_entropy","100","0.818842"
"spatial","mean-four-turn-window","7x7-p84","seeded-random","largest_region_share","100","0.270833"
"spatial","mean-four-turn-window","7x7-p84","seeded-random","hhi","100","0.185210"
"spatial","mean-four-turn-window","7x7-p84","seeded-random","region_coverage","100","0.756101"
"spatial","mean-four-turn-window","7x7-p84","uct-0100","normalized_entropy","50","0.816809"
"spatial","mean-four-turn-window","7x7-p84","uct-0100","largest_region_share","50","0.272987"
"spatial","mean-four-turn-window","7x7-p84","uct-0100","hhi","50","0.186368"
"spatial","mean-four-turn-window","7x7-p84","uct-0100","region_coverage","50","0.753627"
"spatial","mean-four-turn-window","7x7-p84","uct-0500","normalized_entropy","50","0.799350"
"spatial","mean-four-turn-window","7x7-p84","uct-0500","largest_region_share","50","0.286038"
"spatial","mean-four-turn-window","7x7-p84","uct-0500","hhi","50","0.195210"
"spatial","mean-four-turn-window","7x7-p84","uct-0500","region_coverage","50","0.731530"
"spatial","mean-four-turn-window","7x7-p84","uct-1000","normalized_entropy","50","0.787979"
