"source_issue","board","piece_budget","experiment_id","search_level","iteration_limit","game_index","seed","trial_file","trial_sha256","canonical_trial_sha256","source_manifest_trial_sha256","source_manifest_hash_match"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","16","730015","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0016.trl","ce437b97405eff2f5dc3fd774605fdee8c4063dc88bd0d9afff30c87831be5ea","3f8761f5a85ec334a5e719357879ed3df598ee3a0efc1b6ab5e4138c3a15fc44","b0babe0a2d74107cbbfbd6ad740431ce30fb719fa7db9b639b081d55d319f47b","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","17","730016","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0017.trl","19a8312fee1e6c6b0cb5d515e525ba2edff06ebdf26b4a37a05dfde9395473fa","4edd8c85c3955fa5250e7588ebf69b00b2c4542ece20de7a89de8d8947bb7feb","17f0f5a7cf37eadf879a30d6baf0bf7a676bf61191219403aa5343e473d8add7","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","18","730017","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0018.trl","a3a32384b8d3053c88693cf4af1b8f42b9048fcfb8083ff275cce415f9e38d72","fe21a8b6c9a5feafc7249745a6f62f760681778e45656e6042555eb30b785988","7b4737488ddb3bac3d9b14cc9077a757113e4cb597e3e0fd04f235227ca9c02b","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","19","730018","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0019.trl","e839ccbe5eafbb2be2290094815bae3623247a9e9286c3eae3515e9013401b5d","8a95ea90cef0cb94187d16b5da983aaeeb8db8ed57741766048981bef3b9d59d","3d489e2b450991f98d253c9a76e0185a25b3409348346743a97261f03966c40e","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","20","730019","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0020.trl","f5ca1977ca98799e4faa96c75fc87c03f976868e095582a128b46cf904f30733","77ea8fa335e9edecdec9d6519500e07c241b2aa2bd826bb354edcdde985b8122","fbc1baea10c2e027e54532678c27e4c5e32e03d2d0799a9249ee2ee006447203","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","21","730020","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0021.trl","a6b696a3c6dfff424cd7135ec5fa5cd344a62e469e034923cc27d7bf93b9ab21","60397b3ab26a5682e54dbe47b506ea3984beb0143c12f85a14c69da4eff4aef0","34a8fee2acda7c4139d5a2cae2c78e8f7a1ec176cf67289568c83a2af062a3d2","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","22","730021","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0022.trl","d950093152011f012496943bc2ba49ad04db796a6b901b77143529f36138d5d6","8586cb735bd4aed7b14d65910a03b0d9216d3cff29a3dd32ea60cf7989140fb5","68f069ecc836107791e95d2dd625333190b86f5cdb9fa955c9d1468c29552f6d","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","23","730022","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0023.trl","0c62e672ce6c657ce71be46112156e17dfb8b90d48fb97543ad5d707e8060e3e","859a7261429cb606304d54e04f702956d1f9df2b6c1605d19fbae1e0f8eb9b0b","744daf729ed0290b009873471ceeaa284fb0370a088ed604328cd9706b9e6734","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","24","730023","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0024.trl","8c44d16f55dca2645a9d421abc4ebe5615d8028eb683bcef3856ff496dfa1803","bbb16f373b1c8b57236c750f480b159d0ea5e2a72fc7d0f50ec8bbec72130ff2","eec57ca30ff6229f045bed7dfaea04d4cd63aa474311ffa1a1b2f19c3c6b93cb","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","25","730024","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0025.trl","6b3d48fc475057fa3d1f23eebb67b8b7c48bf58dbb7a2c37544203948748039a","c0483ec8a71a01ea840d019c362e848c9d85c558fcdd7064781546fecd415239","ce00e415f0159a762fe51624422af0da689726e6dfa8d02ffae1df8ea66956e3","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","26","730025","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0026.trl","0296a033efc9ad3759eff18785f55e6f6015fbadb7d333f184259c88b81772da","f148eb2a3b6bfcf873c399015704f5cd54e6c052256a4f1b4724370b07ea4e5f","3a3cc1e6566fc8c5f29d83bbdc82369052f36e7e5cd75144e806dcb517d627cc","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","27","730026","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0027.trl","1c4c941f2934c629c8aab0fc313d4fca4fcf775d0726665bb2dfa1acbfd12fe6","0af8a0d82ebd5db896a9589e99d46b808c71d558d287b17d657faeb7fd15b71c","23a81eb6a9cd9f616c34fc935453d408e0821cb2f1da0cf53d1df503f83376c7","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","28","730027","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0028.trl","7411eb2e1299548cda869cd460b6e696c6746b824800068a3e4d8d2e59baf88a","37c4cae65492405e7cab2655f1dd6a35a6291f1b9d8cc7e37999d736d3c213af","6a67c897edca1375e528e9ed37f8446e545ccffec77f6146151fc4731e523b46","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","29","730028","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0029.trl","ab32c97c5727068322834d3c0a53302658caf06c9454ba3f772beea867f6a65e","6a88b249ab322eef58ab95bb9809ed385ce49bdc75547f24f3e94b3d23e13275","abf23c67eaf01b027bf4c6cfd454196c9b1aaeb2394d34fe295991dee882d25c","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","30","730029","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0030.trl","4ee79e1f4ca9213ec1b55332739dd6f5a93c010fb47eb6258b57be92a07bfa67","4093638a3fb54ffbbc6dac3e956c1fe4a1d8b08e74dbee78963fc584ca1421aa","a262e978edcc52a12ac7d6df218977169047d1f1cf338169d4463d9a6592521b","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","31","730030","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0031.trl","168f800314d3556fbe46ff52f7db7269b005c6a1e9865d5ff40b81b963da1e95","5b7f96e940dec31c34303aa3ed42305d7eb403141b78e34c391162cf6985cc8a","4a8706e7c5f6034ec13c83796eaa3d81d434d14ab135a0a494b36c1ce24caedc","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","32","730031","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0032.trl","4b9ebca0e06fc253c51a08593344280a18a74c12ba3064ae28b284fe0ae66938","c4d5cc907384b1d777c6bfa692365d3a6d1b6bf2971030ab61b10928fa47a0dc","d0e7ba4c4132fee9d21da9e90098de50be4fc8986eff0a9653341bb3300f2b06","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","33","730032","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0033.trl","bcf2961dfe07b023be092b772b72efd8c3a463cea1274e3c9206b53bfa7114c7","40968c3ab251651429ca1be1347b6f513784ea960a9a40d71397478027631c90","0c238b9a0641d6d6819202863332521050e2df8fe5279fd7b04d56a2f5fb7438","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","34","730033","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0034.trl","82343e13be959ab349ca9c17af0614675130495fc6e7756918689dfa9244f51f","77d560c2e0d50b45f4fa35acb980b0b1264a73105e5f3f1679783db26c8e83aa","f972d718d6124f7b6f7fa891ec1a100a1d1eb3e6b6bedaa3d8b629073d16ff20","false"
