"board","experiment_id","search_level","game_index","censor_mode","cohort_regions","final_band_survival_rate","mechanically_closed_rate","resolved_or_settled_rate","end_censored_rate","selectively_abandoned_rate"
"7x7-p72","7x7-seeded-random","seeded-random","1","turns4","8","1","0","0.625","0.25","0.125"
"7x7-p72","7x7-seeded-random","seeded-random","2","turns4","9","1","0","0.3333333333333333","0.2222222222222222","0.4444444444444444"
"7x7-p72","7x7-seeded-random","seeded-random","3","turns4","8","1","0","0","0.5","0.5"
"7x7-p72","7x7-seeded-random","seeded-random","4","turns4","9","1","0","0.6666666666666666","0.3333333333333333","0"
"7x7-p72","7x7-seeded-random","seeded-random","5","turns4","9","1","0","0.5555555555555556","0.1111111111111111","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","6","turns4","9","1","0","0.4444444444444444","0.2222222222222222","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","7","turns4","8","1","0","0.375","0.5","0.125"
"7x7-p72","7x7-seeded-random","seeded-random","8","turns4","9","1","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","9","turns4","9","1","0","0.5555555555555556","0.4444444444444444","0"
"7x7-p72","7x7-seeded-random","seeded-random","10","turns4","9","1","0","0.4444444444444444","0.2222222222222222","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","11","turns4","8","1","0","0.25","0.5","0.25"
"7x7-p72","7x7-seeded-random","seeded-random","12","turns4","9","1","0","0.5555555555555556","0.1111111111111111","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","13","turns4","9","1","0","0.5555555555555556","0.2222222222222222","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","14","turns4","9","1","0","0.3333333333333333","0.4444444444444444","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","15","turns4","9","0.8888888888888888","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","16","turns4","9","1","0","0.5555555555555556","0.3333333333333333","0.1111111111111111"
"7x7-p72","7x7-seeded-random","seeded-random","17","turns4","9","1","0","0.4444444444444444","0.4444444444444444","0.1111111111111111"
"7x7-p72","7x7-seeded-random","seeded-random","18","turns4","9","1","0","0.6666666666666666","0.1111111111111111","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","19","turns4","9","1","0","0.4444444444444444","0.2222222222222222","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","20","turns4","9","1","0","0.2222222222222222","0.5555555555555556","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","21","turns4","9","1","0","0.4444444444444444","0.4444444444444444","0.1111111111111111"
"7x7-p72","7x7-seeded-random","seeded-random","22","turns4","9","1","0","0.4444444444444444","0.3333333333333333","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","23","turns4","9","1","0","0.4444444444444444","0.3333333333333333","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","24","turns4","9","1","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","25","turns4","9","1","0","0.5555555555555556","0.4444444444444444","0"
"7x7-p72","7x7-seeded-random","seeded-random","26","turns4","9","1","0","0.3333333333333333","0.4444444444444444","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","27","turns4","9","0.8888888888888888","0","0.3333333333333333","0.5555555555555556","0.1111111111111111"
"7x7-p72","7x7-seeded-random","seeded-random","28","turns4","9","0.8888888888888888","0","0.2222222222222222","0.3333333333333333","0.4444444444444444"
"7x7-p72","7x7-seeded-random","seeded-random","29","turns4","9","1","0","0.3333333333333333","0.4444444444444444","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","30","turns4","8","1","0","0.375","0.25","0.375"
"7x7-p72","7x7-seeded-random","seeded-random","31","turns4","9","1","0","0.2222222222222222","0.6666666666666666","0.1111111111111111"
"7x7-p72","7x7-seeded-random","seeded-random","32","turns4","9","1","0","0.3333333333333333","0.4444444444444444","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","33","turns4","9","1","0","0.4444444444444444","0.3333333333333333","0.2222222222222222"
"7x7-p72","7x7-seeded-random","seeded-random","34","turns4","9","1","0","0.4444444444444444","0.2222222222222222","0.3333333333333333"
"7x7-p72","7x7-seeded-random","seeded-random","35","turns4","9","1","0","0.5555555555555556","0.2222222222222222","0.2222222222222222"
